Year,Zip,RatsN
12,10001,700
12,10002,0
12,10003,1400
12,10004,2900
12,10005,21000
12,10006,4000
12,10007,9400
12,10009,5100
12,10010,10100
12,10011,14500
12,10012,6500
12,10013,1400
12,10014,4300
12,10016,7200
12,10017,6100
12,10018,5800
12,10019,12300
12,10021,22800
12,10022,26400
12,10023,18400
12,10024,31800
12,10025,7600
12,10026,14100
12,10027,14800
12,10028,31100
12,10029,28200
12,10030,15500
12,10031,14500
12,10032,13700
12,10033,10100
12,10034,4300
12,10035,5100
12,10036,6500
12,10037,10100
12,10038,6100
12,10039,0
12,10040,13400
12,10065,15900
12,10069,400
12,10075,1100
12,10128,10100
12,10162,7900
12,10280,8700
12,10301,10500
12,10302,11200
12,10303,15200
12,10304,3300
12,10305,7600
12,10306,11900
12,10307,7900
12,10308,17700
12,10309,22000
12,10310,17000
12,10312,23800
12,10314,27500
12,10451,8700
12,10452,15900
12,10453,47000
12,10454,41900
12,10455,40800
12,10456,26700
12,10457,19100
12,10458,12300
12,10459,14800
12,10460,13700
12,10461,400
12,10462,9400
12,10463,19100
12,10464,41900
12,10465,22400
12,10466,24900
12,10467,4700
12,10468,1100
12,10469,32500
12,10470,10800
12,10471,5800
12,10472,4000
12,10473,700
12,10474,400
12,10475,12600
12,11001,4300
12,11004,8700
12,11101,5100
12,11102,8300
12,11103,3600
12,11104,12300
12,11105,29300
12,11106,5400
12,11201,13000
12,11203,30300
12,11204,38700
12,11205,28200
12,11206,6500
12,11207,11600
12,11208,30700
12,11209,26400
12,11210,36100
12,11211,13000
12,11212,27100
12,11213,54500
12,11214,32500
12,11215,11900
12,11216,13000
12,11217,13000
12,11218,74400
12,11219,22000
12,11220,15200
12,11221,4000
12,11222,21300
12,11223,24900
12,11224,4000
12,11225,10800
12,11226,11200
12,11228,6900
12,11229,6500
12,11230,40500
12,11231,12300
12,11232,13700
12,11233,21700
12,11234,33600
12,11235,46200
12,11236,1400
12,11237,2500
12,11238,4700
12,11249,2900
12,11354,6900
12,11355,5100
12,11356,700
12,11357,700
12,11358,1100
12,11360,400
12,11361,3300
12,11362,1400
12,11363,400
12,11364,2900
12,11365,10500
12,11366,4700
12,11367,5400
12,11368,5800
12,11369,12300
12,11370,4000
12,11372,7200
12,11373,12300
12,11374,11600
12,11375,9800
12,11377,38300
12,11378,3600
12,11379,13700
12,11385,7600
12,11411,4000
12,11412,400
12,11413,4700
12,11414,6900
12,11415,6100
12,11416,8700
12,11417,7200
12,11418,6100
12,11419,4700
12,11420,7200
12,11421,2500
12,11422,2500
12,11423,2900
12,11426,6100
12,11427,11600
12,11428,15900
12,11429,17300
12,11432,13700
12,11433,9400
12,11434,10800
12,11435,3300
12,11436,2500
12,11691,1100
12,11692,3251.314286
12,11693,2528.8
12,11694,1083.771429
