Year,Zip,RatsN
16,10001,7100
16,10002,21800
16,10003,12000
16,10004,0
16,10005,300
16,10006,1800
16,10007,5800
16,10009,23000
16,10010,4300
16,10011,13500
16,10012,14700
16,10013,12900
16,10014,13500
16,10016,7400
16,10017,1200
16,10018,1800
16,10019,9500
16,10021,7700
16,10022,7400
16,10023,12000
16,10024,15700
16,10025,32200
16,10026,21800
16,10027,26100
16,10028,14100
16,10029,23300
16,10030,12900
16,10031,31300
16,10032,23300
16,10033,21800
16,10034,14400
16,10035,13800
16,10036,8600
16,10037,6100
16,10038,5200
16,10039,10100
16,10040,12300
16,10044,300
16,10065,6100
16,10069,300
16,10075,900
16,10121,0
16,10128,20600
16,10301,5200
16,10302,9500
16,10303,8900
16,10304,10100
16,10305,8300
16,10306,15300
16,10307,2800
16,10308,7100
16,10309,4300
16,10310,9200
16,10312,14400
16,10314,11700
16,10451,15700
16,10452,26700
16,10453,27600
16,10454,13500
16,10455,17800
16,10456,34100
16,10457,34100
16,10458,33800
16,10459,27900
16,10460,23900
16,10461,7700
16,10462,18400
16,10463,18400
16,10464,600
16,10465,7100
16,10466,20000
16,10467,38100
16,10468,29200
16,10469,20000
16,10470,4900
16,10471,3700
16,10472,19300
16,10473,7700
16,10474,5800
16,10475,1200
16,11001,1200
16,11004,300
16,11040,0
16,11101,13200
16,11102,4000
16,11103,9200
16,11104,4000
16,11105,4900
16,11106,7400
16,11201,14700
16,11203,23300
16,11204,5500
16,11205,18400
16,11206,30700
16,11207,52800
16,11208,30100
16,11209,8900
16,11210,7400
16,11211,28200
16,11212,24200
16,11213,35900
16,11214,6400
16,11215,39300
16,11216,44800
16,11217,30400
16,11218,9200
16,11219,6400
16,11220,9800
16,11221,66900
16,11222,18100
16,11223,10100
16,11224,7100
16,11225,18400
16,11226,31000
16,11228,4300
16,11229,7400
16,11230,9500
16,11231,9800
16,11232,6100
16,11233,46700
16,11234,14400
16,11235,14400
16,11236,16000
16,11237,32200
16,11238,34700
16,11249,9200
16,11354,3100
16,11355,7400
16,11356,2100
16,11357,5800
16,11358,4300
16,11360,1800
16,11361,5800
16,11362,300
16,11363,900
16,11364,900
16,11365,1500
16,11366,1500
16,11367,2100
16,11368,13500
16,11369,2100
16,11370,1800
16,11372,14100
16,11373,12300
16,11374,7700
16,11375,4000
16,11377,14100
16,11378,7400
16,11379,8600
16,11385,37400
16,11411,2100
16,11412,8300
16,11413,6400
16,11414,4300
16,11415,1800
16,11416,4600
16,11417,8000
16,11418,6800
16,11419,9800
16,11420,9800
16,11421,3100
16,11422,2100
16,11423,4000
16,11426,2100
16,11427,1500
16,11428,2500
16,11429,6800
16,11432,13800
16,11433,16900
16,11434,12600
16,11435,9200
16,11436,4900
16,11691,5200
16,11692,2500
16,11693,900
16,11694,900
