"Year","zip","Borough","Neighborhood","Percentage","Number"
16,10001,"MANHATTAN","CHELSEA AND CLINTON","0.018793706",5695
16,10002,"MANHATTAN","LOWER EAST SIDE","0.022465035",18222.2222222222
16,10003,"MANHATTAN","LOWER EAST SIDE","0.022465035",9718.51851851852
16,10004,"MANHATTAN","LOWER MANHATTAN","0.003409091",0
16,10005,"MANHATTAN","LOWER MANHATTAN","0.003409091",399.895941727367
16,10006,"MANHATTAN","LOWER MANHATTAN","0.003409091",1999.47970863684
16,10007,"MANHATTAN","LOWER MANHATTAN","0.003409091",6798.23100936524
16,10009,"MANHATTAN","LOWER EAST SIDE","0.022465035",17918.5185185185
16,10010,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL","0.01048951",3199.16753381894
16,10011,"MANHATTAN","CHELSEA AND CLINTON","0.018793706",13065
16,10012,"MANHATTAN","GREENWICH VILLAGE AND SOHO","0.014248252",13996.3579604579
16,10013,"MANHATTAN","GREENWICH VILLAGE AND SOHO","0.014248252",13996.3579604579
16,10014,"MANHATTAN","GREENWICH VILLAGE AND SOHO","0.014248252",9597.50260145682
16,10016,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL","0.01048951",7598.02289281998
16,10017,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL","0.01048951",1199.6878251821
16,10018,"MANHATTAN","CHELSEA AND CLINTON","0.018793706",1675
16,10019,"MANHATTAN","CHELSEA AND CLINTON","0.018793706",8375
16,10021,"MANHATTAN","UPPER EAST SIDE","0.029807692",8216.66666666667
16,10022,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL","0.01048951",9597.50260145682
16,10023,"MANHATTAN","UPPER WEST SIDE","0.034090909",7625.67567567568
16,10024,"MANHATTAN","UPPER WEST SIDE","0.034090909",11297.2972972973
16,10025,"MANHATTAN","UPPER WEST SIDE","0.034090909",25418.9189189189
16,10026,"MANHATTAN","CENTRAL HARLEM","0.033653846",17103.6585365854
16,10027,"MANHATTAN","CENTRAL HARLEM","0.033653846",16792.6829268293
16,10028,"MANHATTAN","UPPER EAST SIDE","0.029807692",19333.3333333333
16,10029,"MANHATTAN","EAST HARLEM","0.018006993",16625
16,10030,"MANHATTAN","CENTRAL HARLEM","0.033653846",10262.1951219512
16,10031,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.043618881",16027.2727272727
16,10032,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.043618881",12509.0909090909
16,10033,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.043618881",11140.9090909091
16,10034,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.043618881",6840.90909090909
16,10035,"MANHATTAN","EAST HARLEM","0.018006993",10579.5454545455
16,10036,"MANHATTAN","CHELSEA AND CLINTON","0.018793706",7370
16,10037,"MANHATTAN","CENTRAL HARLEM","0.033653846",3731.70731707317
16,10038,"MANHATTAN","LOWER MANHATTAN","0.003409091",5598.54318418314
16,10039,"MANHATTAN","CENTRAL HARLEM","0.033653846",7463.41463414634
16,10040,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.043618881",6254.54545454545
16,10044,"MANHATTAN","UPPER EAST SIDE","0.029807692",483.333333333333
16,10065,"MANHATTAN","UPPER EAST SIDE","0.029807692",7250
16,10069,"MANHATTAN","#N/A","#N/A",399.895941727367
16,10075,"MANHATTAN","UPPER EAST SIDE","0.029807692",966.666666666667
16,10121,"MANHATTAN","#N/A","#N/A",0
16,10128,"MANHATTAN","UPPER EAST SIDE","0.029807692",21750
16,10301,"STATEN ISLAND","STAPLETON AND ST. GEORGE","0.011713287",5198.64724245578
16,10302,"STATEN ISLAND","PORT RICHMOND","0.010751748",9997.39854318418
16,10303,"STATEN ISLAND","PORT RICHMOND","0.010751748",10797.1904266389
16,10304,"STATEN ISLAND","STAPLETON AND ST. GEORGE","0.011713287",10797.1904266389
16,10305,"STATEN ISLAND","STAPLETON AND ST. GEORGE","0.011713287",9597.50260145682
16,10306,"STATEN ISLAND","SOUTH SHORE","0.015472028",60060
16,10307,"STATEN ISLAND","SOUTH SHORE","0.015472028",10010
16,10308,"STATEN ISLAND","SOUTH SHORE","0.015472028",30030
16,10309,"STATEN ISLAND","SOUTH SHORE","0.015472028",14300
16,10310,"STATEN ISLAND","PORT RICHMOND","0.010751748",10397.2944849116
16,10312,"STATEN ISLAND","SOUTH SHORE","0.015472028",60060
16,10314,"STATEN ISLAND","MID ISLAND","0.00979021",12396.7741935484
16,10451,"BRONX","HIGH BRIDGE AND MORRISANIA","0.038461538",8495.96774193548
16,10452,"BRONX","HIGH BRIDGE AND MORRISANIA","0.038461538",13435.4838709677
16,10453,"BRONX","CENTRAL BRONX","0.04291958",13983.5616438356
16,10454,"BRONX","HUNTS POINT AND MOTT HAVEN","0.031555944",9353.84615384615
16,10455,"BRONX","HUNTS POINT AND MOTT HAVEN","0.031555944",13738.4615384615
16,10456,"BRONX","HIGH BRIDGE AND MORRISANIA","0.038461538",17584.6774193548
16,10457,"BRONX","CENTRAL BRONX","0.04291958",19664.3835616438
16,10458,"BRONX","BRONX PARK AND FORDHAM","0.052272727",19804.8611111111
16,10459,"BRONX","HUNTS POINT AND MOTT HAVEN","0.031555944",21923.0769230769
16,10460,"BRONX","CENTRAL BRONX","0.04291958",13983.5616438356
16,10461,"BRONX","SOUTHEAST BRONX","0.03986014",8225
16,10462,"BRONX","SOUTHEAST BRONX","0.03986014",19191.6666666667
16,10463,"BRONX","KINGSBRIDGE AND RIVERDALE","0.011363636",21194.4849115505
16,10464,"BRONX","SOUTHEAST BRONX","0.03986014",0
16,10465,"BRONX","SOUTHEAST BRONX","0.03986014",6266.66666666667
16,10466,"BRONX","NORTHEAST BRONX","0.013986014",23193.9646201873
16,10467,"BRONX","BRONX PARK AND FORDHAM","0.052272727",24568.0555555556
16,10468,"BRONX","BRONX PARK AND FORDHAM","0.052272727",20055.5555555556
16,10469,"BRONX","NORTHEAST BRONX","0.013986014",20794.5889698231
16,10470,"BRONX","NORTHEAST BRONX","0.013986014",5598.54318418314
16,10471,"BRONX","KINGSBRIDGE AND RIVERDALE","0.011363636",4398.85535900104
16,10472,"BRONX","SOUTHEAST BRONX","0.03986014",18408.3333333333
16,10473,"BRONX","SOUTHEAST BRONX","0.03986014",7833.33333333333
16,10474,"BRONX","HUNTS POINT AND MOTT HAVEN","0.031555944",4969.23076923077
16,10475,"BRONX","NORTHEAST BRONX","0.013986014",799.791883454735
16,11001,"QUEENS","#N/A","#N/A",1199.6878251821
16,11004,"QUEENS","SOUTHEAST QUEENS","0.008741259",399.895941727367
16,11040,"QUEENS","#N/A","#N/A",0
16,11101,"QUEENS","NORTHWEST QUEENS","0.01756993",21488.4615384615
16,11102,"QUEENS","NORTHWEST QUEENS","0.01756993",6388.46153846154
16,11103,"QUEENS","NORTHWEST QUEENS","0.01756993",13357.6923076923
16,11104,"QUEENS","NORTHWEST QUEENS","0.01756993",6969.23076923077
16,11105,"QUEENS","NORTHWEST QUEENS","0.01756993",7550
16,11106,"QUEENS","NORTHWEST QUEENS","0.01756993",10453.8461538462
16,11201,"BROOKLYN","NORTHWEST BROOKLYN","0.045716783",15310.2941176471
16,11203,"BROOKLYN","FLATBUSH","0.051748252",30053.3333333333
16,11204,"BROOKLYN","BOROUGH PARK","0.01215035",6398.33506763788
16,11205,"BROOKLYN","NORTHWEST BROOKLYN","0.045716783",23757.3529411765
16,11206,"BROOKLYN","SUNSET PARK","0.047027972",41222.2222222222
16,11207,"BROOKLYN","EAST NEW YORK AND NEW LOTS","0.026923077",63617.3913043478
16,11208,"BROOKLYN","EAST NEW YORK AND NEW LOTS","0.026923077",38991.3043478261
16,11209,"BROOKLYN","SOUTHWEST BROOKLYN","0.00743007",8797.71071800208
16,11210,"BROOKLYN","FLATBUSH","0.051748252",9123.33333333333
16,11211,"BROOKLYN","GREENPOINT","0.023513986",29722
16,11212,"BROOKLYN","CENTRAL BROOKLYN","0.104545455",25628.5714285714
16,11213,"BROOKLYN","CENTRAL BROOKLYN","0.104545455",36400
16,11214,"BROOKLYN","SOUTHWEST BROOKLYN","0.00743007",7198.12695109261
16,11215,"BROOKLYN","NORTHWEST BROOKLYN","0.045716783",55433.8235294118
16,11216,"BROOKLYN","CENTRAL BROOKLYN","0.104545455",43457.1428571429
16,11217,"BROOKLYN","NORTHWEST BROOKLYN","0.045716783",40123.5294117647
16,11218,"BROOKLYN","BOROUGH PARK","0.01215035",9997.39854318418
16,11219,"BROOKLYN","BOROUGH PARK","0.01215035",6398.33506763788
16,11220,"BROOKLYN","BUSHWICK AND WILLIAMSBURG","0.004370629",9997.39854318418
