BBL,Year,Zip,count,Zop
1000770024,17,10038,1,10038
1000780001,11,10038,1,10038
1000780004,15,10038,1,10038
1000780020,14,10038,1,10038
1000787506,11,10038,4,10038
1000787508,14,10038,1,10038
1000787508,19,10038,2,10038
1000787510,14,10038,1,10038
1000790004,12,10038,1,10038
1000790015,15,10038,1,10038
1000790015,20,10038,1,10038
1000790025,12,10038,1,10038
1000790026,13,10038,1,10038
1000790027,14,10038,1,10038
1000797501,11,10038,2,10038
1000797502,12,10038,1,10038
1000797502,13,10038,1,10038
1000847501,19,10007,1,10007
1000890001,14,10038,1,10038
1000890012,13,10038,1,10038
1000890012,17,10038,1,10038
1000890012,18,10038,1,10038
1000900017,21,10038,1,10038
1000900022,21,10038,1,10038
1000917501,20,10038,1,10038
1000920003,21,10038,1,10038
1000920013,14,10038,1,10038
1000920017,13,10038,2,10038
1000920030,12,10038,1,10038
1000927501,21,10038,1,10038
1000930001,14,10038,1,10038
1000930001,19,10038,1,10038
1000930028,19,10038,1,10038
1000930028,21,10038,1,10038
1000930029,21,10038,1,10038
1000930034,20,10038,1,10038
1000940001,10,10038,5,10038
1000940001,13,10038,1,10038
1000940001,14,10038,2,10038
1000940001,15,10038,2,10038
1000940001,16,10038,1,10038
1000940001,17,10038,3,10038
1000940001,19,10038,2,10038
1000940001,20,10038,2,10038
1000940001,21,10038,6,10038
1000940025,10,10038,2,10038
1000940025,13,10038,1,10038
1000940025,15,10038,1,10038
1000940025,20,10038,1,10038
1000940025,21,10038,2,10038
1000950027,10,10038,1,10038
1000950027,20,10038,1,10038
1000950027,21,10038,1,10038
1000960005,10,10038,1,10038
1000960005,17,10038,1,10038
1000970001,13,10038,1,10038
1000970001,14,10038,1,10038
1000970003,14,10038,1,10038
1000970004,14,10038,1,10038
1000970007,14,10038,1,10038
1000970010,15,10038,1,10038
1000970010,17,10038,2,10038
1000970013,20,10038,1,10038
1000970015,14,10038,2,10038
1000970015,15,10038,1,10038
1000970015,17,10038,2,10038
1000970017,17,10038,1,10038
1000970017,20,10038,2,10038
1000970018,16,10038,1,10038
1000970018,21,10038,1,10038
1000970024,14,10038,1,10038
1000970033,17,10038,1,10038
1000970035,18,10038,1,10038
1000970035,20,10038,2,10038
1000970043,12,10038,1,10038
1000970043,17,10038,1,10038
1000977504,17,10038,1,10038
1001000026,10,10038,1,10038
1001010001,10,10038,1,10038
1001010002,17,10038,1,10038
1001010002,21,10038,1,10038
1001020001,20,10038,2,10038
1001060006,17,10038,1,10038
1001060007,14,10038,1,10038
1001060009,18,10038,1,10038
1001067502,17,10038,1,10038
1001067504,16,10038,1,10038
1001070001,20,10038,1,10038
1001070031,11,10038,1,10038
1001070033,15,10038,4,10038
1001070034,15,10038,2,10038
1001070034,16,10038,1,10038
1001070034,17,10038,1,10038
1001070034,21,10038,1,10038
1001070035,18,10038,1,10038
1001070040,18,10038,1,10038
1001070042,11,10038,1,10038
1001070044,11,10038,1,10038
1001070046,17,10038,2,10038
1001070049,11,10038,1,10038
1001070049,17,10038,1,10038
1001077501,16,10038,1,10038
1001077501,17,10038,1,10038
1001077502,11,10038,3,10038
1001077502,16,10038,1,10038
1001077502,17,10038,1,10038
1001110100,12,10038,7,10038
1001110100,13,10038,1,10038
1001110100,14,10038,1,10038
1001110100,15,10038,2,10038
1001110100,16,10038,12,10038
1001110100,18,10038,3,10038
1001110100,19,10038,4,10038
1001110100,20,10038,10,10038
1001110100,21,10038,2,10038
1001110150,19,10038,1,10038
1001137501,18,10038,1,10038
1001160042,13,10038,5,10038
1001160046,12,10038,1,10038
1001170001,15,10038,2,10038
1001170001,20,10038,1,10038
1001190001,10,10038,4,10038
1001190001,11,10038,1,10038
1001190001,15,10038,6,10038
1001210001,14,10007,1,10007
1001210001,15,10007,8,10007
1001210001,18,10007,1,10007
1001210001,21,10007,1,10007
1001220001,10,10007,1,10007
1001220001,14,10007,1,10007
1001230018,16,10007,3,10007
1001240004,12,10007,1,10007
1001240004,14,10007,4,10007
1001240007,13,10007,2,10007
1001240008,13,10007,2,10007
1001240008,14,10007,2,10007
1001240008,15,10007,1,10007
1001240010,20,10007,1,10007
1001240012,19,10007,1,10007
1001240024,10,10007,1,10007
1001240024,11,10007,1,10007
1001240024,13,10007,1,10007
1001260009,19,10007,1,10007
1001260027,18,10007,1,10007
1001260027,20,10007,1,10007
1001260027,21,10007,1,10007
1001320002,19,10007,1,10007
1001320027,15,10007,1,10007
1001320027,17,10007,1,10007
1001327501,18,10007,2,10007
1001327502,15,10007,2,10007
1001327502,18,10007,1,10007
1001330012,10,10007,1,10007
1001330015,19,10007,1,10007
1001330019,12,10007,1,10007
1001330019,18,10007,1,10007
1001330019,19,10007,1,10007
1001337502,15,10007,2,10007
1001337506,10,10007,1,10007
1001337511,17,10007,1,10007
1001340011,10,10007,1,10007
1001347501,19,10007,1,10007
1001347503,13,10007,1,10007
1001347503,16,10007,1,10007
1001350014,15,10007,5,10007
1001350018,15,10007,1,10007
1001350019,15,10007,1,10007
1001350021,17,10007,1,10007
1001357501,21,10007,1,10007
1001357503,15,10007,1,10007
1001357504,15,10007,9,10007
1001357505,12,10007,1,10007
1001360012,18,10007,1,10007
1001360025,12,10007,1,10007
1001360025,21,10007,4,10007
1001360028,18,10007,1,10007
1001367502,18,10007,2,10007
1001367503,19,10007,3,10007
1001367505,21,10007,1,10007
1001370001,19,10007,1,10007
1001370005,18,10007,1,10007
1001370010,11,10007,1,10007
1001370035,12,10007,1,10007
1001370035,13,10007,1,10007
1001377502,17,10007,1,10007
1001377502,21,10007,2,10007
1001400001,13,10013,1,10013
1001400001,15,10007,1,10007
1001400003,12,10007,1,10007
1001400005,15,10007,10,10007
1001400029,20,10013,1,10013
1001407503,21,10013,1,10013
1001410001,20,10013,2,10013
1001410002,21,10013,1,10013
1001410019,21,10013,2,10013
1001410020,21,10013,1,10013
1001417502,21,10013,3,10013
1001420001,13,10007,1,10007
1001420001,20,10007,1,10007
1001420013,13,10013,1,10013
1001420025,10,10013,1,10013
1001420025,11,10013,3,10013
1001420025,12,10013,2,10013
1001420025,13,10013,4,10013
1001420025,14,10013,1,10013
1001420025,15,10013,2,10013
1001420025,17,10013,1,10013
1001420050,21,10007,1,10007
1001427501,12,10007,1,10007
1001427501,15,10007,1,10007
1001430009,21,10013,2,10013
1001430013,21,10013,2,10013
1001430014,21,10013,1,10013
1001430015,21,10013,1,10013
1001430016,14,10013,1,10013
1001430016,15,10013,1,10013
1001430019,10,10013,1,10013
1001430021,21,10013,1,10013
1001430025,20,10013,1,10013
