Plate State,Plate,longdms,latdms,longdd,latdd
NY,ALU9671,"74° 0' 26.244"" W","40° 42' 30.132"" N",-74.00729,40.70837
NY,DUZ8838,"74° 0' 19.476"" W","40° 42' 26.64"" N",-74.00541,40.7074
NY,HVZ6105,"74° 0' 19.512"" W","40° 42' 25.056"" N",-74.00542,40.70696
NY,26201JY,"74° 0' 23.94"" W","40° 42' 24.336"" N",-74.00665,40.70676
NY,35920MJ,"74° 0' 41.652"" W","40° 42' 18.072"" N",-74.01157,40.70502
NY,HPM6859,"74° 0' 32.832"" W","40° 42' 20.556"" N",-74.00912,40.70571
,8EL9390,"74° 0' 24.876"" W","40° 42' 18.612"" N",-74.00691,40.70517
NY,JPT2171,"74° 0' 12.204"" W","40° 42' 27.288"" N",-74.00339,40.70758
NY,FAM 9019,"74° 0' 13.716"" W","40° 42' 37.656"" N",-74.00381,40.71046
NY,KPL6505,"74° 0' 17.568"" W","40° 42' 34.956"" N",-74.00488,40.70971
NY,KJA9647,"74° 0' 20.088"" W","40° 42' 37.44"" N",-74.00558,40.7104
NY,KNN7546,"74° 0' 26.892"" W","40° 42' 31.716"" N",-74.00747,40.70881
NY,HPE4475,"74° 0' 41.184"" W","40° 42' 32.256"" N",-74.01144,40.70896
,G422785Y,"74° 0' 30.348"" W","40° 42' 27.144"" N",-74.00843,40.70754
,0855X,"73° 59' 42.9426"" W","40° 45' 4.7088"" N",-73.995262,40.751308
NJ,XLKM24,"74° 0' 1.0794"" W","40° 45' 19.188"" N",-74.0003,40.75533
NY,38406MN,"74° 0' 3.924"" W","40° 45' 16.2714""  N",-74.00109,40.75452
NY,FDV8481,"73° 59' 47.796"" W","40° 45' 9.684"" N",-73.99661,40.75269
NJ,XEBM93,"73° 59' 53.9988"" W","40° 45' 11.4726"" N",-73.9983332,40.7531869
NY,766316,"74° 0' 8.928"" W","40° 45' 18.468"" N",-74.00248,40.7551296
NY,37961b8,"73° 59' 17.4546"" W","40° 44' 58.2678"" N",-73.988182,40.749519
MD,T0919891,"73° 59' 16.008"" W","40° 44' 55.2114"" N",-73.98778,40.74867
NY,XED5643,"73° 59' 8.6496"" W","40° 44' 52.6266"" N",-73.9857365,40.7479515
NY,KHD6302,"73° 58' 56.0892"" W","40° 44' 48.75"" N",-73.9822475,40.7468745
NY,HVE7639,"73° 58' 43.0242"" W","40° 44' 42.2268"" N",-73.9786188,40.7450631
NY,KUT6825,"73° 58' 41.649"" W","40° 44' 42.2694"" N",-73.9782365,40.7450748
NY,ELTAAH,"73° 58' 48.6762"" W","40° 44' 44.61"" N",-73.9801887,40.7457254
NY,HXV2358,"73° 58' 33.8"" W","40° 44' 37.9"" N",-73.97606,40.74386
NY,ESL3561,"73° 58' 34.95"" W","40° 44' 38.832"" N",-73.9763755,40.7441201
NJ,3ERV1,"73° 58' 34.95"" W","40° 44' 38.832"" N",-73.9763755,40.7441201
NY,JPP6670,"73° 58' 26.349"" W","40° 44' 35.181"" N",-73.9739868,40.7431057
FL,PZTM63,"73° 58' 31.7814"" W","40° 45' 11.865"" N",-73.9754952,40.753296
NY,JER2116,"73° 58' 29.3376"" W","40° 45' 14.4786"" N",-73.9748167,40.7540216
PA,ZJE5354,"73° 58' 46.1274"" W","40° 45' 19.4616"" N",-73.9794805,40.7554057
NY,5196 16,"73° 59' 9.6216"" W","40° 45' 28.6308"" N",-73.9860069,40.7579529
,KNH4502,"73° 56' 22.833"" W","40° 50' 21.864"" N",-73.93967592,40.83940655
,KSX8766,"73° 56' 22.833"" W","40° 50' 21.864"" N",-73.93967592,40.83940655
,KPR2809,"73° 56' 22.833"" W","40° 50' 21.864"" N",-73.93967592,40.83940655
,GBS7946,"73° 56' 24.537"" W","40° 50' 11.779"" N",-73.94014917,40.83660533
,T794575C,"73° 56' 25.291"" W","40° 50' 13.284"" N",-73.9403586,40.83702318
,S40PBT,"73° 56' 24.734"" W","40° 50' 14.485"" N",-73.94020375,40.83735682
,S22PXE,"73° 56' 24.200"" W","40° 50' 17.131"" N",-73.94005567,40.83809206
,T714622C,"73° 56' 25.516"" W","40° 50' 23.069"" N",-73.9404211,40.83974137
,41475MK,"73° 56' 21.906"" W","40° 50' 24.391"" N",-73.93941837,40.84010857
,JBA7614,"73° 56' 21.074"" W","40° 50' 27.286"" N",-73.93918714,40.8409129
,DPC3546,"73° 56' 20.282"" W","40° 50' 31.185"" N",-73.93896727,40.8419957
,M44LLJ,"73° 56' 18.480"" W","40° 50' 33.660"" N",-73.93846674,40.84268341
,C53MTG,"73° 56' 14.144"" W","40° 50' 40.903"" N",-73.93726214,40.84469535
,HRG9697,"73° 56' 20.621"" W","40° 50' 36.281"" N",-73.9390614,40.84341145
,LAGENTE,"73° 56' 19.838"" W","40° 50' 32.861"" N",-73.93884382,40.8424614
,JPO6541,"73° 56' 22.469"" W","40° 50' 29.750"" N",-73.93957481,40.84159732
,T727515C,"73° 56' 24.849"" W","40° 50' 12.420"" N",-73.94023577,40.83678331
,TD5F7V,"73° 56' 24.659"" W","40° 50' 11.555"" N",-73.94018314,40.83654315
,T740798C,"73° 56' 23.060"" W","40° 50' 7.992"" N",-73.9397389,40.83555329
,FAF2123,"73° 56' 22.708"" W","40° 50' 3.770"" N",-73.93964115,40.83438058
,KUH2765,"73° 56' 27.377"" W","40° 50' 3.094"" N",-73.94093816,40.83419263
,DFW582,"73° 56' 27.721"" W","40° 50' 2.596"" N",-73.9410336,40.83405436
,KWS5391,"73° 56' 38.599"" W","40° 50' 4.974"" N",-73.9440554,40.83471488
,GBT7627,"73° 56' 29.680"" W","40° 50' 2.775"" N ",-73.94157762,40.83410421
,Y202106C,"73° 56' 28.958"" W","40° 50' 0.627"" N",-73.94137732,40.83350742
,CML8607,"73° 56' 36.847"" W","40° 49' 49.532"" N",-73.94356869,40.83042544
,LLZ3677,"73° 56' 32.083"" W","40° 49' 44.418"" N",-73.94224527,40.829005
,GDP1074,"73° 56' 42.213"" W","40° 49' 43.976"" N",-73.94505909,40.82888222
,HSD3045,"73° 56' 42.213"" W","40° 49' 43.976"" N",-73.94505909,40.82888222
,G23FLR,"73° 56' 42.290"" W","40° 49' 42.187"" N",-73.94508053,40.82838521
