"BBL","Borough","Incident Zip","Year","count"
5000440001,"STATEN ISLAND",10301,"21",1
5000440044,"STATEN ISLAND",10301,"17",1
5000440044,"STATEN ISLAND",10301,"19",1
5000440048,"STATEN ISLAND",10301,"14",1
5000450015,"STATEN ISLAND",10301,"18",1
5000460001,"STATEN ISLAND",10301,"20",1
5000460001,"STATEN ISLAND",10301,"21",3
5000460018,"STATEN ISLAND",10301,"17",1
5000460020,"STATEN ISLAND",10301,"14",2
5000460020,"STATEN ISLAND",10301,"21",1
5000460037,"STATEN ISLAND",10301,"21",1
5000470001,"STATEN ISLAND",10301,"20",1
5000470026,"STATEN ISLAND",10301,"18",1
5000470032,"STATEN ISLAND",10301,"14",1
5000470056,"STATEN ISLAND",10301,"19",1
5000470062,"STATEN ISLAND",10301,"21",2
5000470091,"STATEN ISLAND",10301,"17",1
5000480009,"STATEN ISLAND",10301,"14",1
5000480009,"STATEN ISLAND",10301,"15",1
5000480018,"STATEN ISLAND",10301,"21",1
5000480020,"STATEN ISLAND",10301,"20",1
5000480026,"STATEN ISLAND",10301,"18",1
5000480029,"STATEN ISLAND",10301,"21",2
5000490001,"STATEN ISLAND",10301,"21",3
5000490025,"STATEN ISLAND",10301,"19",2
5000490147,"STATEN ISLAND",10301,"20",1
5000490177,"STATEN ISLAND",10301,"18",1
5000500104,"STATEN ISLAND",10301,"21",1
5000500106,"STATEN ISLAND",10301,"21",1
5000500108,"STATEN ISLAND",10301,"21",1
5000510001,"STATEN ISLAND",10301,"19",1
5000510030,"STATEN ISLAND",10301,"19",1
5000510170,"STATEN ISLAND",10301,"20",1
5000520012,"STATEN ISLAND",10301,"20",1
5000520018,"STATEN ISLAND",10301,"21",1
5000520037,"STATEN ISLAND",10301,"18",1
5000520037,"STATEN ISLAND",10301,"21",1
5000520048,"STATEN ISLAND",10301,"18",1
5000520052,"STATEN ISLAND",10301,"16",1
5000520052,"STATEN ISLAND",10301,"21",2
5000520069,"STATEN ISLAND",10301,"15",2
5000520071,"STATEN ISLAND",10301,"15",1
5000520076,"STATEN ISLAND",10301,"14",9
5000520076,"STATEN ISLAND",10301,"15",2
5000520076,"STATEN ISLAND",10301,"17",1
5000520133,"STATEN ISLAND",10301,"21",1
5000540060,"STATEN ISLAND",10301,"16",2
5000540060,"STATEN ISLAND",10301,"18",2
5000560009,"STATEN ISLAND",10301,"20",1
5000580068,"STATEN ISLAND",10301,"19",1
5000590008,"STATEN ISLAND",10301,"21",1
5000610011,"STATEN ISLAND",10301,"15",2
5000610024,"STATEN ISLAND",10301,"17",1
5000610032,"STATEN ISLAND",10301,"14",1
5000610038,"STATEN ISLAND",10301,"16",1
5000610082,"STATEN ISLAND",10301,"21",1
5000620008,"STATEN ISLAND",10301,"16",1
5000620008,"STATEN ISLAND",10301,"18",1
5000620025,"STATEN ISLAND",10301,"21",1
5000630050,"STATEN ISLAND",10301,"21",2
5000640203,"STATEN ISLAND",10301,"19",1
5000640212,"STATEN ISLAND",10301,"21",1
5000650001,"STATEN ISLAND",10301,"21",1
5000650053,"STATEN ISLAND",10301,"18",1
5000660024,"STATEN ISLAND",10301,"20",1
5000660027,"STATEN ISLAND",10301,"16",1
5000660107,"STATEN ISLAND",10301,"17",1
5000660154,"STATEN ISLAND",10301,"21",1
5000670010,"STATEN ISLAND",10301,"16",1
5000690039,"STATEN ISLAND",10301,"17",1
5000700013,"STATEN ISLAND",10301,"14",1
5000700013,"STATEN ISLAND",10301,"21",1
5000700034,"STATEN ISLAND",10301,"21",1
5000700046,"STATEN ISLAND",10301,"21",1
5000710011,"STATEN ISLAND",10301,"15",1
5000720023,"STATEN ISLAND",10301,"21",1
5000740107,"STATEN ISLAND",10301,"15",1
5000740111,"STATEN ISLAND",10301,"16",2
5000780014,"STATEN ISLAND",10310,"15",1
5000780022,"STATEN ISLAND",10310,"19",1
5000780069,"STATEN ISLAND",10310,"17",1
5000780093,"STATEN ISLAND",10310,"20",1
5000800002,"STATEN ISLAND",10301,"19",1
5000800009,"STATEN ISLAND",10301,"21",1
5000810016,"STATEN ISLAND",10301,"20",1
5000810017,"STATEN ISLAND",10301,"17",1
5000810018,"STATEN ISLAND",10301,"16",1
5000820029,"STATEN ISLAND",10301,"19",1
5000840079,"STATEN ISLAND",10301,"15",1
5000840079,"STATEN ISLAND",10301,"16",1
5000840083,"STATEN ISLAND",10301,"16",1
5000850052,"STATEN ISLAND",10301,"18",1
5000850066,"STATEN ISLAND",10301,"18",1
5000860023,"STATEN ISLAND",10301,"20",1
5000860026,"STATEN ISLAND",10301,"14",1
5000860070,"STATEN ISLAND",10301,"18",1
5000870010,"STATEN ISLAND",10301,"18",1
5000880077,"STATEN ISLAND",10301,"18",1
5000910043,"STATEN ISLAND",10301,"20",1
5000910070,"STATEN ISLAND",10301,"20",1
5000910119,"STATEN ISLAND",10301,"17",1
5000910122,"STATEN ISLAND",10301,"17",1
5000920250,"STATEN ISLAND",10301,"19",1
5001010525,"STATEN ISLAND",10301,"20",1
5001030001,"STATEN ISLAND",10301,"14",1
5001030040,"STATEN ISLAND",10301,"14",1
5001040007,"STATEN ISLAND",10301,"18",1
5001040007,"STATEN ISLAND",10301,"20",2
5001040009,"STATEN ISLAND",10301,"19",1
5001040012,"STATEN ISLAND",10301,"17",3
5001040013,"STATEN ISLAND",10301,"16",1
5001040018,"STATEN ISLAND",10301,"18",1
5001040019,"STATEN ISLAND",10301,"18",1
5001040029,"STATEN ISLAND",10301,"21",1
5001050003,"STATEN ISLAND",10301,"17",1
5001050003,"STATEN ISLAND",10301,"21",1
5001050009,"STATEN ISLAND",10301,"18",1
5001050026,"STATEN ISLAND",10301,"20",1
5001050028,"STATEN ISLAND",10301,"18",1
5001050036,"STATEN ISLAND",10301,"20",1
5001060014,"STATEN ISLAND",10301,"16",1
5001060015,"STATEN ISLAND",10301,"14",1
5001060015,"STATEN ISLAND",10301,"16",1
5001070030,"STATEN ISLAND",10301,"19",1
5001070030,"STATEN ISLAND",10301,"20",1
5001070030,"STATEN ISLAND",10301,"21",1
5001080009,"STATEN ISLAND",10301,"16",1
5001080021,"STATEN ISLAND",10301,"15",1
5001080021,"STATEN ISLAND",10301,"19",1
5001080022,"STATEN ISLAND",10301,"18",1
5001080026,"STATEN ISLAND",10301,"21",1
5001080037,"STATEN ISLAND",10301,"21",1
5001090032,"STATEN ISLAND",10301,"18",1
5001110006,"STATEN ISLAND",10301,"21",1
5001120027,"STATEN ISLAND",10301,"19",1
5001130024,"STATEN ISLAND",10301,"20",1
5001140042,"STATEN ISLAND",10301,"14",1
5001140043,"STATEN ISLAND",10301,"14",1
5001150039,"STATEN ISLAND",10301,"21",2
5001150074,"STATEN ISLAND",10301,"21",1
5001150085,"STATEN ISLAND",10301,"18",1
5001150106,"STATEN ISLAND",10301,"18",1
5001160021,"STATEN ISLAND",10301,"16",1
5001180032,"STATEN ISLAND",10301,"18",2
5001190007,"STATEN ISLAND",10301,"21",1
5001190032,"STATEN ISLAND",10301,"16",1
5001190034,"STATEN ISLAND",10301,"17",1
5001190034,"STATEN ISLAND",10301,"18",1
5001190062,"STATEN ISLAND",10301,"20",1
5001190080,"STATEN ISLAND",10301,"17",1
