Year,Zip,RatsN
20,10000,0
20,10001,13500
20,10002,23500
20,10003,22500
20,10004,1500
20,10005,800
20,10006,1000
20,10007,0
20,10009,25600
20,10010,6800
20,10011,25600
20,10012,21300
20,10013,43300
20,10014,15200
20,10016,14600
20,10017,0
20,10018,2000
20,10019,7000
20,10021,3600
20,10022,11500
20,10023,17000
20,10024,29000
20,10025,26600
20,10026,18300
20,10027,17900
20,10028,21300
20,10029,20700
20,10030,16400
20,10031,20800
20,10032,12300
20,10033,21300
20,10034,9100
20,10035,15400
20,10036,7900
20,10037,6900
20,10038,4400
20,10039,5500
20,10040,12700
20,10044,0
20,10065,18200
20,10069,100
20,10075,5300
20,10128,18500
20,10280,0
20,10282,0
20,10301,18000
20,10302,0
20,10303,8000
20,10304,11300
20,10305,57800
20,10306,56400
20,10307,0
20,10308,0
20,10309,5300
20,10310,25900
20,10312,60900
20,10314,33300
20,10451,11600
20,10452,9100
20,10453,16700
20,10454,7500
20,10455,13600
20,10456,28400
20,10457,24200
20,10458,21900
20,10459,21000
20,10460,18100
20,10461,0
20,10462,16400
20,10463,23700
20,10464,300
20,10465,14400
20,10466,30100
20,10467,26900
20,10468,12200
20,10469,19700
20,10470,6000
20,10471,5400
20,10472,40300
20,10473,9300
20,10474,5100
20,10475,0
20,11001,0
20,11004,0
20,11040,0
20,11101,19400
20,11102,12600
20,11103,68400
20,11104,19000
20,11105,9800
20,11106,11600
20,11201,20900
20,11203,31200
20,11204,19500
20,11205,23100
20,11206,37700
20,11207,74100
20,11208,53400
20,11209,25200
20,11210,11100
20,11211,65400
20,11212,56300
20,11213,33700
20,11214,24200
20,11215,99100
20,11216,101000
20,11217,34100
20,11218,38000
20,11219,29000
20,11220,39700
20,11221,98000
20,11222,23000
20,11223,16000
20,11224,9600
20,11225,18300
20,11226,30700
20,11228,14000
20,11229,46500
20,11230,96400
20,11231,33100
20,11232,11200
20,11233,76500
20,11234,40000
20,11235,22100
20,11236,47500
20,11237,50000
20,11238,61700
20,11239,300
20,11249,11700
20,11354,13800
20,11355,8800
20,11356,12800
20,11357,9100
20,11358,17100
20,11360,0
20,11361,10400
20,11362,0
20,11363,0
20,11364,0
20,11365,4900
20,11366,0
20,11367,0
20,11368,27500
20,11369,11500
20,11370,0
20,11372,10600
20,11373,16500
20,11374,6200
20,11375,0
20,11377,43200
20,11378,26400
20,11379,22800
20,11385,71600
20,11411,1800
20,11412,4800
20,11413,9600
20,11414,13800
20,11415,0
20,11416,4100
20,11417,18400
20,11418,22500
20,11419,7700
20,11420,29800
20,11421,7200
20,11422,0
20,11423,0
20,11426,0
20,11427,0
20,11428,0
20,11429,11700
20,11430,0
20,11432,17600
20,11433,15700
20,11434,28800
20,11435,19000
20,11436,0
20,11691,7500
20,11692,0
20,11693,0
20,11694,0
20,11695,0
20,11697,0
20,12345,0
