"BBL","Borough","Incident Zip","Year","count"
3001660032,"BROOKLYN",11217,"21",2
3001660033,"BROOKLYN",11217,"18",1
3001660033,"BROOKLYN",11217,"21",2
3001660040,"BROOKLYN",11217,"14",1
3001660043,"BROOKLYN",11217,"19",1
3001670002,"BROOKLYN",11217,"21",1
3001670003,"BROOKLYN",11217,"20",1
3001670013,"BROOKLYN",11217,"17",3
3001670013,"BROOKLYN",11217,"21",1
3001670051,"BROOKLYN",11217,"18",2
3001677501,"BROOKLYN",11217,"21",1
3001690009,"BROOKLYN",11201,"16",1
3001700015,"BROOKLYN",11201,"19",3
3001700015,"BROOKLYN",11201,"20",2
3001700015,"BROOKLYN",11201,"21",2
3001710001,"BROOKLYN",11201,"21",3
3001710058,"BROOKLYN",11217,"21",1
3001720037,"BROOKLYN",11217,"14",1
3001720043,"BROOKLYN",11217,"15",1
3001720045,"BROOKLYN",11217,"16",1
3001720046,"BROOKLYN",11217,"14",1
3001720049,"BROOKLYN",11217,"20",2
3001720054,"BROOKLYN",11217,"14",1
3001720054,"BROOKLYN",11217,"16",1
3001720054,"BROOKLYN",11217,"21",1
3001730001,"BROOKLYN",11217,"14",1
3001730001,"BROOKLYN",11217,"15",2
3001730023,"BROOKLYN",11217,"21",2
3001730032,"BROOKLYN",11217,"16",6
3001730032,"BROOKLYN",11217,"17",9
3001730032,"BROOKLYN",11217,"21",1
3001730036,"BROOKLYN",11217,"17",1
3001730037,"BROOKLYN",11217,"16",3
3001730037,"BROOKLYN",11217,"20",4
3001730045,"BROOKLYN",11217,"16",1
3001730050,"BROOKLYN",11217,"16",1
3001730055,"BROOKLYN",11217,"16",1
3001730055,"BROOKLYN",11217,"21",2
3001740018,"BROOKLYN",11217,"21",1
3001760026,"BROOKLYN",11201,"15",1
3001760028,"BROOKLYN",11201,"18",1
3001760028,"BROOKLYN",11201,"20",2
3001760028,"BROOKLYN",11201,"21",3
3001770001,"BROOKLYN",11217,"19",8
3001770006,"BROOKLYN",11217,"15",1
3001770011,"BROOKLYN",11217,"15",1
3001770016,"BROOKLYN",11217,"17",1
3001770030,"BROOKLYN",11217,"18",1
3001770039,"BROOKLYN",11217,"14",1
3001770042,"BROOKLYN",11217,"18",1
3001770060,"BROOKLYN",11201,"20",1
3001780001,"BROOKLYN",11217,"14",1
3001780016,"BROOKLYN",11217,"18",3
3001780028,"BROOKLYN",11217,"15",1
3001780030,"BROOKLYN",11217,"16",1
3001780035,"BROOKLYN",11217,"21",1
3001780036,"BROOKLYN",11217,"15",6
3001780036,"BROOKLYN",11217,"16",4
3001780037,"BROOKLYN",11217,"16",1
3001780037,"BROOKLYN",11217,"21",1
3001780070,"BROOKLYN",11217,"14",1
3001790009,"BROOKLYN",11217,"21",1
3001797501,"BROOKLYN",11217,"21",1
3001800005,"BROOKLYN",11217,"14",1
3001800007,"BROOKLYN",11217,"14",1
3001800007,"BROOKLYN",11217,"17",1
3001800009,"BROOKLYN",11217,"21",1
3001800010,"BROOKLYN",11217,"14",2
3001800011,"BROOKLYN",11217,"14",1
3001800011,"BROOKLYN",11217,"21",1
3001800012,"BROOKLYN",11217,"14",1
3001800017,"BROOKLYN",11217,"14",3
3001800021,"BROOKLYN",11217,"20",1
3001800022,"BROOKLYN",11217,"14",1
3001800050,"BROOKLYN",11217,"20",1
3001807502,"BROOKLYN",11217,"21",1
3001810030,"BROOKLYN",11201,"21",1
3001810037,"BROOKLYN",11201,"14",1
3001810039,"BROOKLYN",11201,"17",1
3001817501,"BROOKLYN",11201,"21",1
3001820006,"BROOKLYN",11201,"19",1
3001820007,"BROOKLYN",11201,"17",1
3001820012,"BROOKLYN",11201,"19",1
3001820034,"BROOKLYN",11201,"16",1
3001820053,"BROOKLYN",11201,"16",1
3001820054,"BROOKLYN",11201,"16",2
3001820057,"BROOKLYN",11201,"16",1
3001820057,"BROOKLYN",11201,"17",1
3001830040,"BROOKLYN",11217,"19",1
3001840024,"BROOKLYN",11217,"15",1
3001840054,"BROOKLYN",11217,"18",1
3001840054,"BROOKLYN",11217,"21",1
3001840061,"BROOKLYN",11217,"19",1
3001850019,"BROOKLYN",11217,"14",1
3001850019,"BROOKLYN",11217,"15",1
3001850019,"BROOKLYN",11217,"17",5
3001850019,"BROOKLYN",11217,"18",3
3001850019,"BROOKLYN",11217,"19",5
3001850019,"BROOKLYN",11217,"20",5
3001850019,"BROOKLYN",11217,"21",1
3001850039,"BROOKLYN",11217,"15",1
3001850041,"BROOKLYN",11217,"19",1
3001850048,"BROOKLYN",11217,"17",1
3001860029,"BROOKLYN",11217,"15",1
3001860056,"BROOKLYN",11217,"15",2
3001860057,"BROOKLYN",11217,"15",2
3001860061,"BROOKLYN",11217,"17",1
3001867501,"BROOKLYN",11217,"20",2
3001870001,"BROOKLYN",11201,"21",1
3001870005,"BROOKLYN",11201,"21",1
3001870040,"BROOKLYN",11201,"21",1
3001880006,"BROOKLYN",11201,"19",1
3001880009,"BROOKLYN",11201,"19",1
3001880042,"BROOKLYN",11217,"17",1
3001887501,"BROOKLYN",11201,"16",4
3001890033,"BROOKLYN",11217,"15",1
3001890057,"BROOKLYN",11217,"21",1
3001897502,"BROOKLYN",11217,"20",1
3001900018,"BROOKLYN",11217,"20",1
3001900035,"BROOKLYN",11217,"21",1
3001900047,"BROOKLYN",11217,"21",1
3001910039,"BROOKLYN",11217,"20",1
3001920025,"BROOKLYN",11217,"14",1
3001920039,"BROOKLYN",11217,"14",1
3001920040,"BROOKLYN",11217,"18",5
3001930020,"BROOKLYN",11201,"21",14
3001930025,"BROOKLYN",11201,"16",1
3001930034,"BROOKLYN",11201,"21",1
3001930050,"BROOKLYN",11201,"17",1
3001940001,"BROOKLYN",11201,"20",1
3001940032,"BROOKLYN",11201,"17",1
3001940047,"BROOKLYN",11201,"21",1
3001940054,"BROOKLYN",11201,"20",2
3001940054,"BROOKLYN",11201,"21",1
3001940055,"BROOKLYN",11201,"20",3
3001940055,"BROOKLYN",11201,"21",1
3001940056,"BROOKLYN",11201,"20",5
3001940056,"BROOKLYN",11201,"21",1
3001940057,"BROOKLYN",11201,"21",1
3001940059,"BROOKLYN",11201,"20",3
3001940059,"BROOKLYN",11201,"21",2
3001940061,"BROOKLYN",11201,"16",2
3001940061,"BROOKLYN",11201,"21",1
3001940065,"BROOKLYN",11201,"20",1
3001950010,"BROOKLYN",11217,"19",1
3001950013,"BROOKLYN",11217,"20",1
3001950043,"BROOKLYN",11217,"20",1
3001950051,"BROOKLYN",11217,"17",1
3001950052,"BROOKLYN",11217,"17",1
3001960003,"BROOKLYN",11217,"17",1
3001970001,"BROOKLYN",11217,"15",2
3001970011,"BROOKLYN",11217,"19",1
3001970019,"BROOKLYN",11217,"19",1
3001970021,"BROOKLYN",11217,"18",1
3001970021,"BROOKLYN",11217,"19",1
3001970055,"BROOKLYN",11217,"21",3
3001980027,"BROOKLYN",11217,"14",1
3001980033,"BROOKLYN",11217,"15",1
3002020001,"BROOKLYN",11201,"16",1
3002020012,"BROOKLYN",11201,"17",1
3002040001,"BROOKLYN",11201,"21",2
3002080316,"BROOKLYN",11201,"16",1
3002080331,"BROOKLYN",11201,"19",1
3002080338,"BROOKLYN",11201,"21",1
3002080501,"BROOKLYN",11201,"20",1
3002100004,"BROOKLYN",11201,"17",2
3002100016,"BROOKLYN",11201,"18",1
3002110037,"BROOKLYN",11201,"16",1
3002140015,"BROOKLYN",11201,"14",1
3002150005,"BROOKLYN",11201,"20",1
3002150021,"BROOKLYN",11201,"20",1
3002160007,"BROOKLYN",11201,"14",1
3002160021,"BROOKLYN",11201,"17",1
3002160021,"BROOKLYN",11201,"18",1
3002190005,"BROOKLYN",11201,"19",3
3002200003,"BROOKLYN",11201,"17",1
3002200016,"BROOKLYN",11201,"18",1
3002200016,"BROOKLYN",11201,"20",1
3002240005,"BROOKLYN",11201,"20",1
3002250102,"BROOKLYN",11201,"20",2
3002257501,"BROOKLYN",11201,"20",1
3002260006,"BROOKLYN",11201,"19",1
3002340035,"BROOKLYN",11201,"21",1
3002360038,"BROOKLYN",11201,"21",1
3002360078,"BROOKLYN",11201,"18",1
3002360132,"BROOKLYN",11201,"21",1
3002370020,"BROOKLYN",11201,"17",1
3002370020,"BROOKLYN",11201,"21",1
3002370043,"BROOKLYN",11201,"16",1
3002370043,"BROOKLYN",11201,"18",1
3002380007,"BROOKLYN",11201,"16",3
3002390001,"BROOKLYN",11201,"21",1
3002390016,"BROOKLYN",11201,"17",1
3002397501,"BROOKLYN",11201,"21",1
3002430035,"BROOKLYN",11201,"15",1
3002430043,"BROOKLYN",11201,"17",1
3002450015,"BROOKLYN",11201,"15",1
3002450030,"BROOKLYN",11201,"19",1
3002480003,"BROOKLYN",11201,"17",1
3002480028,"BROOKLYN",11201,"19",1
3002490012,"BROOKLYN",11201,"14",1
3002490016,"BROOKLYN",11201,"18",1
3002490025,"BROOKLYN",11201,"14",1
3002490025,"BROOKLYN",11201,"21",1
3002490026,"BROOKLYN",11201,"14",2
3002490029,"BROOKLYN",11201,"20",1
3002497501,"BROOKLYN",11201,"15",1
3002500001,"BROOKLYN",11242,"15",1
3002500007,"BROOKLYN",11201,"15",2
3002500019,"BROOKLYN",11201,"16",1
3002500039,"BROOKLYN",11201,"19",1
3002500044,"BROOKLYN",11241,"19",1
3002510001,"BROOKLYN",11201,"15",1
3002510047,"BROOKLYN",11201,"15",1
3002510052,"BROOKLYN",11201,"15",1
3002520001,"BROOKLYN",11201,"19",2
3002520001,"BROOKLYN",11201,"20",5
3002520008,"BROOKLYN",11201,"15",2
3002520038,"BROOKLYN",11201,"21",1
3002520051,"BROOKLYN",11201,"21",1
3002520061,"BROOKLYN",11201,"19",1
3002530037,"BROOKLYN",11201,"21",1
3002537501,"BROOKLYN",11201,"15",1
3002540013,"BROOKLYN",11201,"19",1
3002540017,"BROOKLYN",11201,"15",1
3002540019,"BROOKLYN",11201,"19",1
3002540062,"BROOKLYN",11201,"15",1
3002540062,"BROOKLYN",11201,"18",1
3002540071,"BROOKLYN",11201,"21",1
3002540081,"BROOKLYN",11201,"14",1
3002540081,"BROOKLYN",11201,"17",2
3002540170,"BROOKLYN",11201,"19",1
3002540172,"BROOKLYN",11201,"19",1
3002540172,"BROOKLYN",11201,"21",1
3002580001,"BROOKLYN",11201,"19",1
3002580017,"BROOKLYN",11201,"14",7
3002580017,"BROOKLYN",11201,"21",1
3002580048,"BROOKLYN",11201,"19",1
3002580104,"BROOKLYN",11201,"16",1
3002580104,"BROOKLYN",11201,"18",2
3002580104,"BROOKLYN",11201,"20",1
3002580104,"BROOKLYN",11201,"21",1
3002580136,"BROOKLYN",11201,"21",1
3002590006,"BROOKLYN",11201,"19",4
3002590008,"BROOKLYN",11201,"19",2
3002590023,"BROOKLYN",11201,"21",1
3002597501,"BROOKLYN",11201,"19",1
3002600024,"BROOKLYN",11201,"17",1
3002610005,"BROOKLYN",11201,"15",1
3002610018,"BROOKLYN",11201,"15",1
3002610034,"BROOKLYN",11201,"21",1
3002610038,"BROOKLYN",11201,"14",1
3002610043,"BROOKLYN",11201,"21",1
3002610051,"BROOKLYN",11201,"14",1
3002620037,"BROOKLYN",11201,"19",1
3002620038,"BROOKLYN",11201,"20",1
3002620047,"BROOKLYN",11201,"19",1
3002620048,"BROOKLYN",11201,"19",3
3002620050,"BROOKLYN",11201,"18",1
3002620052,"BROOKLYN",11201,"17",2
3002630020,"BROOKLYN",11201,"19",1
3002630021,"BROOKLYN",11201,"19",1
3002630022,"BROOKLYN",11201,"20",4
3002630022,"BROOKLYN",11201,"21",2
3002630024,"BROOKLYN",11201,"20",3
3002630027,"BROOKLYN",11201,"20",2
3002630044,"BROOKLYN",11201,"21",4
3002637501,"BROOKLYN",11201,"15",1
3002640010,"BROOKLYN",11201,"15",1
3002640012,"BROOKLYN",11201,"16",1
3002650005,"BROOKLYN",11201,"14",1
3002650049,"BROOKLYN",11201,"19",1
3002660001,"BROOKLYN",11201,"15",1
3002660012,"BROOKLYN",11201,"17",8
3002667501,"BROOKLYN",11201,"15",1
3002667501,"BROOKLYN",11201,"16",1
3002667501,"BROOKLYN",11201,"17",12
3002667501,"BROOKLYN",11201,"19",1
3002670006,"BROOKLYN",11201,"21",1
3002670007,"BROOKLYN",11201,"21",1
3002670014,"BROOKLYN",11201,"21",3
3002670028,"BROOKLYN",11201,"16",1
3002670028,"BROOKLYN",11201,"19",1
3002670028,"BROOKLYN",11201,"21",2
3002670029,"BROOKLYN",11201,"21",4
3002670031,"BROOKLYN",11201,"16",1
3002670039,"BROOKLYN",11201,"21",1
3002670040,"BROOKLYN",11201,"21",1
3002670041,"BROOKLYN",11201,"21",2
3002680002,"BROOKLYN",11201,"19",1
3002680004,"BROOKLYN",11201,"21",1
3002680009,"BROOKLYN",11201,"21",4
3002680023,"BROOKLYN",11201,"21",1
3002680026,"BROOKLYN",11201,"21",1
3002680029,"BROOKLYN",11201,"18",1
3002680039,"BROOKLYN",11201,"18",1
3002680046,"BROOKLYN",11201,"14",2
3002680050,"BROOKLYN",11201,"18",1
3002690016,"BROOKLYN",11201,"20",1
3002690016,"BROOKLYN",11201,"21",3
3002690019,"BROOKLYN",11201,"21",1
3002690021,"BROOKLYN",11201,"14",1
3002690021,"BROOKLYN",11201,"20",1
3002690021,"BROOKLYN",11201,"21",1
3002690033,"BROOKLYN",11201,"17",1
3002690036,"BROOKLYN",11201,"20",1
3002697501,"BROOKLYN",11201,"21",1
3002700022,"BROOKLYN",11201,"19",1
3002710015,"BROOKLYN",11201,"18",1
3002710020,"BROOKLYN",11201,"16",1
3002710032,"BROOKLYN",11201,"21",1
3002710045,"BROOKLYN",11201,"15",1
3002717502,"BROOKLYN",11201,"20",1
3002740006,"BROOKLYN",11201,"21",1
3002740042,"BROOKLYN",11201,"17",1
3002750001,"BROOKLYN",11201,"21",1
3002750015,"BROOKLYN",11201,"20",3
3002750015,"BROOKLYN",11201,"21",3
3002750016,"BROOKLYN",11201,"21",5
3002750017,"BROOKLYN",11201,"21",3
3002750021,"BROOKLYN",11201,"21",1
3002757501,"BROOKLYN",11201,"21",1
3002757504,"BROOKLYN",11201,"21",2
3002760010,"BROOKLYN",11201,"21",1
3002760012,"BROOKLYN",11201,"15",1
3002760020,"BROOKLYN",11201,"21",2
3002760023,"BROOKLYN",11201,"21",3
3002760025,"BROOKLYN",11201,"21",1
3002760028,"BROOKLYN",11201,"21",2
3002780001,"BROOKLYN",11201,"21",1
3002780011,"BROOKLYN",11201,"17",1
3002780015,"BROOKLYN",11201,"21",2
3002780029,"BROOKLYN",11201,"19",1
3002790008,"BROOKLYN",11201,"21",3
3002790012,"BROOKLYN",11201,"21",1
3002790015,"BROOKLYN",11201,"14",1
3002790020,"BROOKLYN",11201,"16",1
3002790027,"BROOKLYN",11201,"14",1
3002790031,"BROOKLYN",11201,"16",2
3002790033,"BROOKLYN",11201,"17",1
3002790034,"BROOKLYN",11201,"17",1
3002790035,"BROOKLYN",11201,"17",2
3002800027,"BROOKLYN",11201,"21",4
3002807501,"BROOKLYN",11201,"18",1
3002840013,"BROOKLYN",11201,"19",2
3002840015,"BROOKLYN",11201,"14",1
3002840016,"BROOKLYN",11201,"14",1
3002840017,"BROOKLYN",11201,"14",1
3002850001,"BROOKLYN",11201,"17",1
3002850036,"BROOKLYN",11201,"17",1
3002860014,"BROOKLYN",11201,"21",2
3002860015,"BROOKLYN",11201,"20",1
3002860015,"BROOKLYN",11201,"21",1
3002860031,"BROOKLYN",11201,"16",1
3002860031,"BROOKLYN",11201,"17",1
3002860033,"BROOKLYN",11201,"17",5
3002910014,"BROOKLYN",11201,"14",1
3002910016,"BROOKLYN",11201,"14",1
3002910021,"BROOKLYN",11201,"17",1
3002910031,"BROOKLYN",11201,"17",1
3002920002,"BROOKLYN",11201,"18",1
3002920026,"BROOKLYN",11201,"14",1
3002920034,"BROOKLYN",11201,"19",1
3002950013,"BROOKLYN",11201,"17",1
3002950013,"BROOKLYN",11201,"19",1
3002950014,"BROOKLYN",11201,"17",2
3002950021,"BROOKLYN",11201,"15",1
3002950021,"BROOKLYN",11201,"18",1
3002950025,"BROOKLYN",11201,"18",1
3002950026,"BROOKLYN",11201,"19",2
3002950026,"BROOKLYN",11201,"21",1
3002950027,"BROOKLYN",11201,"20",1
3002950027,"BROOKLYN",11201,"21",1
3002950029,"BROOKLYN",11201,"19",1
3002950035,"BROOKLYN",11201,"18",1
3002950035,"BROOKLYN",11201,"19",1
3002950038,"BROOKLYN",11201,"18",1
3002960007,"BROOKLYN",11201,"18",1
3002990005,"BROOKLYN",11201,"18",2
3003007501,"BROOKLYN",11201,"21",1
3003010031,"BROOKLYN",11201,"16",2
3003010040,"BROOKLYN",11201,"18",1
3003010042,"BROOKLYN",11201,"18",1
3003010043,"BROOKLYN",11201,"18",1
3003020041,"BROOKLYN",11201,"14",2
3003020041,"BROOKLYN",11201,"15",1
3003020041,"BROOKLYN",11201,"17",3
3003020041,"BROOKLYN",11201,"19",4
3003050027,"BROOKLYN",11201,"16",1
3003050028,"BROOKLYN",11201,"16",1
3003050029,"BROOKLYN",11201,"16",1
3003050029,"BROOKLYN",11201,"17",1
3003057501,"BROOKLYN",11201,"17",1
3003070006,"BROOKLYN",11201,"18",1
3003070035,"BROOKLYN",11201,"15",2
3003070036,"BROOKLYN",11201,"15",2
3003070041,"BROOKLYN",11201,"15",1
3003090001,"BROOKLYN",11201,"16",1
3003090001,"BROOKLYN",11201,"17",2
3003090041,"BROOKLYN",11231,"21",1
3003090044,"BROOKLYN",11231,"21",1
3003100024,"BROOKLYN",11201,"16",1
3003100035,"BROOKLYN",11231,"14",1
3003100035,"BROOKLYN",11231,"15",1
3003100035,"BROOKLYN",11231,"16",4
3003110001,"BROOKLYN",11231,"16",1
3003110029,"BROOKLYN",11201,"14",1
3003120036,"BROOKLYN",11231,"21",1
3003120046,"BROOKLYN",11231,"19",1
3003190002,"BROOKLYN",11231,"19",1
3003190007,"BROOKLYN",11231,"19",1
3003190027,"BROOKLYN",11231,"19",1
3003210018,"BROOKLYN",11231,"17",1
3003210020,"BROOKLYN",11231,"15",2
3003210029,"BROOKLYN",11231,"19",1
3003210030,"BROOKLYN",11231,"19",1
3003210031,"BROOKLYN",11231,"19",1
3003210033,"BROOKLYN",11231,"18",1
3003210051,"BROOKLYN",11231,"15",2
3003217502,"BROOKLYN",11231,"19",1
3003220061,"BROOKLYN",11231,"15",1
3003230057,"BROOKLYN",11231,"20",1
3003240018,"BROOKLYN",11231,"21",1
3003240021,"BROOKLYN",11231,"21",1
3003240051,"BROOKLYN",11231,"21",3
3003250004,"BROOKLYN",11231,"21",1
3003250005,"BROOKLYN",11231,"21",3
3003250006,"BROOKLYN",11231,"19",1
3003250006,"BROOKLYN",11231,"21",4
3003250007,"BROOKLYN",11231,"21",2
3003250045,"BROOKLYN",11231,"21",1
3003250053,"BROOKLYN",11231,"15",1
3003250062,"BROOKLYN",11231,"18",1
3003267501,"BROOKLYN",11231,"15",1
3003300002,"BROOKLYN",11231,"18",1
3003300003,"BROOKLYN",11231,"14",1
3003300041,"BROOKLYN",11231,"18",1
3003300041,"BROOKLYN",11231,"19",1
3003300047,"BROOKLYN",11231,"19",1
3003300049,"BROOKLYN",11231,"19",4
3003307504,"BROOKLYN",11231,"19",1
3003310004,"BROOKLYN",11231,"16",2
3003310021,"BROOKLYN",11231,"21",1
3003310030,"BROOKLYN",11231,"20",2
3003310038,"BROOKLYN",11231,"14",4
3003317502,"BROOKLYN",11231,"20",2
3003330019,"BROOKLYN",11231,"21",1
3003330020,"BROOKLYN",11231,"21",1
3003330024,"BROOKLYN",11231,"19",1
3003330036,"BROOKLYN",11231,"20",1
3003330042,"BROOKLYN",11231,"21",1
3003330048,"BROOKLYN",11231,"20",3
3003360007,"BROOKLYN",11231,"19",1
3003360010,"BROOKLYN",11231,"19",1
3003360035,"BROOKLYN",11231,"18",1
3003370008,"BROOKLYN",11231,"19",1
3003370036,"BROOKLYN",11231,"18",1
3003370040,"BROOKLYN",11231,"20",1
3003380001,"BROOKLYN",11231,"17",2
3003380006,"BROOKLYN",11231,"19",1
3003390047,"BROOKLYN",11231,"20",1
3003390048,"BROOKLYN",11231,"20",1
3003390049,"BROOKLYN",11231,"20",1
3003390050,"BROOKLYN",11231,"19",1
3003390050,"BROOKLYN",11231,"21",1
3003390053,"BROOKLYN",11231,"16",1
3003390053,"BROOKLYN",11231,"21",1
3003410028,"BROOKLYN",11231,"18",1
3003410059,"BROOKLYN",11231,"21",1
3003420042,"BROOKLYN",11231,"14",3
3003420042,"BROOKLYN",11231,"16",1
3003430009,"BROOKLYN",11231,"21",1
3003430013,"BROOKLYN",11231,"18",1
3003430016,"BROOKLYN",11231,"18",1
3003430019,"BROOKLYN",11231,"18",3
3003430021,"BROOKLYN",11231,"18",6
3003430023,"BROOKLYN",11231,"18",1
3003430024,"BROOKLYN",11231,"18",3
3003430038,"BROOKLYN",11231,"17",1
3003430038,"BROOKLYN",11231,"18",1
3003430038,"BROOKLYN",11231,"20",1
3003430039,"BROOKLYN",11231,"18",2
3003430044,"BROOKLYN",11231,"18",3
3003437501,"BROOKLYN",11231,"20",1
3003440001,"BROOKLYN",11231,"19",1
3003440016,"BROOKLYN",11231,"18",1
3003470049,"BROOKLYN",11231,"16",1
3003470050,"BROOKLYN",11231,"16",1
3003477501,"BROOKLYN",11231,"17",1
3003477501,"BROOKLYN",11231,"18",1
