Neighborhood,Zip,Population,Land Area sq. meter
NORTHEAST QUEENS,11364,"35,866","6,386,920"
NORTH QUEENS,11354,"52,351","5,612,650"
NORTH QUEENS,11355,"81,358","4,493,720"
NORTH QUEENS,11356,"24,178","4,069,870"
NORTH QUEENS,11357,"40,118","7,256,740"
NORTH QUEENS,11358,"36,665","5,048,950"
NORTH QUEENS,11359,0,"636,668"
NORTH QUEENS,11360,"18,892","3,691,090"
CENTRAL QUEENS,11365,"43,730","6,466,310"
CENTRAL QUEENS,11366,"14,109","2,835,020"
CENTRAL QUEENS,11367,"40,141","6,162,140"
JAMAICA,11412,"37,987","4,264,330"
JAMAICA,11423,"29,532","3,654,230"
JAMAICA,11432,"64,282","5,566,220"
JAMAICA,11433,"36,929","4,019,550"
JAMAICA,11434,"62,590","8,388,460"
JAMAICA,11435,"59,392","3,922,760"
JAMAICA,11436,"18,955","2,040,480"
NORTHWEST QUEENS,"11,101","32,537","6,773,850"
NORTHWEST QUEENS,11102,"28,359","2,092,160"
NORTHWEST QUEENS,"11,103","35,419","1,841,680"
NORTHWEST QUEENS,11104,"25,037","1,010,090"
NORTHWEST QUEENS,"11,105","37,452","4,226,730"
NORTHWEST QUEENS,11106,"37,094","2,219,780"
WEST CENTRAL QUEENS,"11,374","43,173","2,419,930"
WEST CENTRAL QUEENS,11375,"72,615","5,129,160"
WEST CENTRAL QUEENS,"11,379","37,780","5,372,960"
WEST CENTRAL QUEENS,11385,"105,025","9,357,000"
ROCKAWAYS,"11,691","68,454","7,339,460"
ROCKAWAYS,"11,692","22,394","2,586,420"
ROCKAWAYS,"11,693","13,029","2,582,600"
ROCKAWAYS,"11,694","21,258","3,537,000"
ROCKAWAYS,"11,697","3,527","5,749,270"
SOUTHEAST QUEENS,11004,"15,297","1,010,090"
SOUTHEAST QUEENS,11005,"2,249","4,226,730"
SOUTHEAST QUEENS,11411,"20,473","3,027,440"
SOUTHEAST QUEENS,11413,"41,810","8,028,310"
SOUTHEAST QUEENS,11422,"32,786","5,098,420"
