Plate,State,License Type,Summons Number,Issue Date,Violation Time,Violation,Judgment Entry Date,Fine Amount,Penalty Amount,Interest Amount,Reduction Amount,Payment Amount,Amount Due,Precinct,County,Issuing Agency,Violation Status,Summons Image
7USS817,CA,PAS,8995288826,07/11/2022,03:05A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,081,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVTVFJQUkdkNVRtYzlQUT09&locationName=_____________________)
KSP8145,NY,PAS,8995298870,07/11/2022,05:21P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,084,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVTVFZQUkdjelRVRTlQUT09&locationName=_____________________)
T804732C,NY,OMT,8995399466,07/11/2022,10:53A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,088,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVUVFZQVkZFeVRtYzlQUT09&locationName=_____________________)
NGC0344,TX,PAS,8995399478,07/11/2022,10:55A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,088,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVUVFZQVkZFelQwRTlQUT09&locationName=_____________________)
KSS8830,NY,PAS,8995399510,07/11/2022,12:54P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,088,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVUVFZQVkZWNFRVRTlQUT09&locationName=_____________________)
KWW3200,NY,PAS,8995413610,07/11/2022,05:50A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,106,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVVWGhOZWxsNFRVRTlQUT09&locationName=_____________________)
KLG7070,NY,PAS,8995413621,07/11/2022,05:52A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,106,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVVWGhOZWxsNVRWRTlQUT09&locationName=_____________________)
ELTOXICO,NY,PAS,8995413669,07/11/2022,06:02A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,106,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVVWGhOZWxreVQxRTlQUT09&locationName=_____________________)
EKV7541,NY,PAS,8995413682,07/11/2022,06:06A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,106,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVVWGhOZWxrMFRXYzlQUT09&locationName=_____________________)
T469748C,NY,OMT,8995413694,07/11/2022,06:19A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,106,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVVWGhOZWxrMVRrRTlQUT09&locationName=_____________________)
GOKUDO,NY,SRF,8995413700,07/11/2022,06:23A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,106,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVVWGhOZW1OM1RVRTlQUT09&locationName=_____________________)
IMOUTIE,NY,SRF,8995413748,07/11/2022,06:36A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,106,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVVWGhOZW1Nd1QwRTlQUT09&locationName=_____________________)
F15JUK,NJ,PAS,8995413761,07/11/2022,06:41A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,106,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVVWGhOZW1NeVRWRTlQUT09&locationName=_____________________)
STURDY,ME,PAS,8995413797,07/11/2022,06:56A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,106,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVVWGhOZW1NMVRuYzlQUT09&locationName=_____________________)
KNP6097,NY,PAS,8995413803,07/11/2022,07:01A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,106,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVVWGhOZW1kM1RYYzlQUT09&locationName=_____________________)
KGY5519,NY,PAS,8995413840,07/11/2022,07:13A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,106,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVVWGhOZW1jd1RVRTlQUT09&locationName=_____________________)
KPH3480,NY,PAS,8995413890,07/11/2022,07:26A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,106,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVVWGhOZW1jMVRVRTlQUT09&locationName=_____________________)
KSN5166,NY,PAS,8995413918,07/11/2022,09:11A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,106,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVVWGhOZW10NFQwRTlQUT09&locationName=_____________________)
10992NA,NY,COM,8995426603,07/11/2022,05:19P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,019,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVVWGxPYWxsM1RYYzlQUT09&locationName=_____________________)
JPM8506,NY,PAS,8995431696,07/11/2022,01:06P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,028,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVVWHBOVkZrMVRtYzlQUT09&locationName=_____________________)
KWN2386,NY,PAS,8995431702,07/11/2022,01:10P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,032,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVVWHBOVkdOM1RXYzlQUT09&locationName=_____________________)
XM800Z,NJ,PAS,8995431726,07/11/2022,01:40P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,030,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVVWHBOVkdONVRtYzlQUT09&locationName=_____________________)
KVJ5617,NY,PAS,8995439749,07/11/2022,03:12P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,078,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVVWHBQVkdNd1QxRTlQUT09&locationName=_____________________)
8AXAF2,CT,PAS,8995440491,07/11/2022,02:53A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,079,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVVVEJOUkZFMVRWRTlQUT09&locationName=_____________________)
KUX9927,NY,PAS,8995440508,07/11/2022,02:59A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,079,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVVVEJOUkZWM1QwRTlQUT09&locationName=_____________________)
V22MNV,NJ,PAS,8995440521,07/11/2022,03:07A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,081,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVVVEJOUkZWNVRWRTlQUT09&locationName=_____________________)
XD451282,DE,PAS,8995440612,07/11/2022,03:59A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,081,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVVVEJOUkZsNFRXYzlQUT09&locationName=_____________________)
KEH7647,NY,PAS,8995500384,07/11/2022,04:04P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,094,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVWWGROUkUwMFRrRTlQUT09&locationName=_____________________)
PAT6022,MN,PAS,8995503762,07/11/2022,08:36A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,114,Q,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVWWGROZW1NeVRXYzlQUT09&locationName=_____________________)
71765MN,NY,COM,8995503932,07/11/2022,12:56P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,114,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVWWGROZW10NlRXYzlQUT09&locationName=_____________________)
N94NHZ,NJ,PAS,8995512660,07/11/2022,09:29P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,024,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVWWGhOYWxreVRVRTlQUT09&locationName=_____________________)
KSM4920,NY,PAS,8995512684,07/11/2022,09:46P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,024,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVWWGhOYWxrMFRrRTlQUT09&locationName=_____________________)
JPH6318,NY,PAS,8995516460,07/11/2022,08:48A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,104,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVWWGhPYWxFeVRVRTlQUT09&locationName=_____________________)
KFP3656,NY,PAS,8995516501,07/11/2022,08:53A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,104,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVWWGhPYWxWM1RWRTlQUT09&locationName=_____________________)
