"Year","zip","Borough","Neighborhood","Percentage","Number"
13,10001,"MANHATTAN","CHELSEA AND CLINTON","0.018427378",6533.33333333333
13,10002,"MANHATTAN","LOWER EAST SIDE","0.02621037",27577.7777777778
13,10003,"MANHATTAN","LOWER EAST SIDE","0.02621037",11355.5555555556
13,10004,"MANHATTAN","LOWER MANHATTAN","0.0059517",432.937062937063
13,10005,"MANHATTAN","LOWER MANHATTAN","0.0059517",432.937062937063
13,10006,"MANHATTAN","LOWER MANHATTAN","0.0059517",1298.81118881119
13,10007,"MANHATTAN","LOWER MANHATTAN","0.0059517",4762.30769230769
13,10009,"MANHATTAN","LOWER EAST SIDE","0.02621037",12166.6666666667
13,10010,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL","0.012246767",865.874125874126
13,10011,"MANHATTAN","CHELSEA AND CLINTON","0.018427378",16333.3333333333
13,10012,"MANHATTAN","GREENWICH VILLAGE AND SOHO","0.018312922",11581.25
13,10013,"MANHATTAN","GREENWICH VILLAGE AND SOHO","0.018312922",17712.5
13,10014,"MANHATTAN","GREENWICH VILLAGE AND SOHO","0.018312922",21118.75
13,10016,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL","0.012246767",7792.86713286713
13,10017,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL","0.012246767",865.874125874126
13,10018,"MANHATTAN","CHELSEA AND CLINTON","0.018427378",1088.88888888889
13,10019,"MANHATTAN","CHELSEA AND CLINTON","0.018427378",7077.77777777778
13,10021,"MANHATTAN","UPPER EAST SIDE","0.029071764",8666.66666666667
13,10022,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL","0.012246767",8225.8041958042
13,10023,"MANHATTAN","UPPER WEST SIDE","0.047384686",14268.2926829268
13,10024,"MANHATTAN","UPPER WEST SIDE","0.047384686",12347.5609756098
13,10025,"MANHATTAN","UPPER WEST SIDE","0.047384686",20304.8780487805
13,10026,"MANHATTAN","CENTRAL HARLEM","0.042692",12241.0256410256
13,10027,"MANHATTAN","CENTRAL HARLEM","0.042692",16414.1025641026
13,10028,"MANHATTAN","UPPER EAST SIDE","0.029071764",22533.3333333333
13,10029,"MANHATTAN","EAST HARLEM","0.019686391",10969.2307692308
13,10030,"MANHATTAN","CENTRAL HARLEM","0.042692",9737.17948717949
13,10031,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.051619549",14050.7246376812
13,10032,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.051619549",10839.1304347826
13,10033,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.051619549",11441.3043478261
13,10034,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.051619549",6423.1884057971
13,10035,"MANHATTAN","EAST HARLEM","0.019686391",13446.1538461538
13,10036,"MANHATTAN","CHELSEA AND CLINTON","0.018427378",17966.6666666667
13,10037,"MANHATTAN","CENTRAL HARLEM","0.042692",2503.84615384615
13,10038,"MANHATTAN","LOWER MANHATTAN","0.0059517",5195.24475524476
13,10039,"MANHATTAN","CENTRAL HARLEM","0.042692",2503.84615384615
13,10040,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS","0.051619549",5620.28985507246
13,10044,"MANHATTAN","UPPER EAST SIDE","0.029071764",0
13,10065,"MANHATTAN","UPPER EAST SIDE","0.029071764",11266.6666666667
13,10069,"MANHATTAN","#N/A","#N/A",0
13,10075,"MANHATTAN","UPPER EAST SIDE","0.029071764",9533.33333333333
13,10128,"MANHATTAN","UPPER EAST SIDE","0.029071764",36400
13,10162,"MANHATTAN","#N/A","#N/A",432.937062937063
13,10282,"MANHATTAN","#N/A","#N/A",0
13,10301,"STATEN ISLAND","STAPLETON AND ST. GEORGE","0.014993705",9091.67832167832
13,10302,"STATEN ISLAND","PORT RICHMOND","0.010072107",7359.93006993007
13,10303,"STATEN ISLAND","PORT RICHMOND","0.010072107",7359.93006993007
13,10304,"STATEN ISLAND","STAPLETON AND ST. GEORGE","0.014993705",16451.6083916084
13,10305,"STATEN ISLAND","STAPLETON AND ST. GEORGE","0.014993705",10390.4895104895
13,10306,"STATEN ISLAND","SOUTH SHORE","0.021746595",19250
13,10307,"STATEN ISLAND","SOUTH SHORE","0.021746595",8983.33333333333
13,10308,"STATEN ISLAND","SOUTH SHORE","0.021746595",12191.6666666667
13,10309,"STATEN ISLAND","SOUTH SHORE","0.021746595",11550
13,10310,"STATEN ISLAND","PORT RICHMOND","0.010072107",8225.8041958042
13,10312,"STATEN ISLAND","SOUTH SHORE","0.021746595",23741.6666666667
13,10314,"STATEN ISLAND","MID ISLAND","0.009385373",21646.8531468531
13,10451,"BRONX","HIGH BRIDGE AND MORRISANIA","0.041204075",7061.11111111111
13,10452,"BRONX","HIGH BRIDGE AND MORRISANIA","0.041204075",12983.3333333333
13,10453,"BRONX","CENTRAL BRONX","0.043607646",17145
13,10454,"BRONX","HUNTS POINT AND MOTT HAVEN","0.026324825",7513.04347826087
13,10455,"BRONX","HUNTS POINT AND MOTT HAVEN","0.026324825",10643.4782608696
13,10456,"BRONX","HIGH BRIDGE AND MORRISANIA","0.041204075",29611.1111111111
13,10457,"BRONX","CENTRAL BRONX","0.043607646",31432.5
13,10458,"BRONX","BRONX PARK AND FORDHAM","0.042463088",29679.7619047619
13,10459,"BRONX","HUNTS POINT AND MOTT HAVEN","0.026324825",15026.0869565217
13,10460,"BRONX","CENTRAL BRONX","0.043607646",15240
13,10461,"BRONX","SOUTHEAST BRONX","0.039945061",11440
13,10462,"BRONX","SOUTHEAST BRONX","0.039945061",13000
13,10463,"BRONX","KINGSBRIDGE AND RIVERDALE","0.009042005",11689.3006993007
13,10464,"BRONX","SOUTHEAST BRONX","0.039945061",520
13,10465,"BRONX","SOUTHEAST BRONX","0.039945061",13520
13,10466,"BRONX","NORTHEAST BRONX","0.015565984",22968.75
13,10467,"BRONX","BRONX PARK AND FORDHAM","0.042463088",27460.7142857143
13,10468,"BRONX","BRONX PARK AND FORDHAM","0.042463088",14978.5714285714
13,10469,"BRONX","NORTHEAST BRONX","0.015565984",37406.25
13,10470,"BRONX","NORTHEAST BRONX","0.015565984",8531.25
13,10471,"BRONX","KINGSBRIDGE AND RIVERDALE","0.009042005",2597.62237762238
13,10472,"BRONX","SOUTHEAST BRONX","0.039945061",33800
13,10473,"BRONX","SOUTHEAST BRONX","0.039945061",8840
13,10474,"BRONX","HUNTS POINT AND MOTT HAVEN","0.026324825",4069.5652173913
13,10475,"BRONX","NORTHEAST BRONX","0.015565984",1312.5
13,11001,"QUEENS","#N/A","#N/A",1298.81118881119
13,11004,"QUEENS","SOUTHEAST QUEENS","0.010644386",0
13,11040,"QUEENS","#N/A","#N/A",0
13,11101,"QUEENS","NORTHWEST QUEENS","0.018656289",12122.7272727273
13,11102,"QUEENS","NORTHWEST QUEENS","0.018656289",8659.09090909091
13,11103,"QUEENS","NORTHWEST QUEENS","0.018656289",10390.9090909091
13,11104,"QUEENS","NORTHWEST QUEENS","0.018656289",7504.54545454545
13,11105,"QUEENS","NORTHWEST QUEENS","0.018656289",4040.90909090909
13,11106,"QUEENS","NORTHWEST QUEENS","0.018656289",3463.63636363636
13,11201,"BROOKLYN","NORTHWEST BROOKLYN","0.040975163",18416.6666666667
13,11203,"BROOKLYN","FLATBUSH","0.031589791",19871.2121212121
13,11204,"BROOKLYN","BOROUGH PARK","0.012246767",4329.37062937063
13,11205,"BROOKLYN","NORTHWEST BROOKLYN","0.040975163",26916.6666666667
13,11206,"BROOKLYN","SUNSET PARK","0.050932814",27360.9756097561
13,11207,"BROOKLYN","EAST NEW YORK AND NEW LOTS","0.026095914",85025
13,11208,"BROOKLYN","EAST NEW YORK AND NEW LOTS","0.026095914",49225
13,11209,"BROOKLYN","SOUTHWEST BROOKLYN","0.006638434",8658.74125874126
13,11210,"BROOKLYN","FLATBUSH","0.031589791",8469.69696969697
13,11211,"BROOKLYN","GREENPOINT","0.017740643",25380
13,11212,"BROOKLYN","CENTRAL BROOKLYN","0.082179238",26634.5454545455
13,11213,"BROOKLYN","CENTRAL BROOKLYN","0.082179238",30840
13,11214,"BROOKLYN","SOUTHWEST BROOKLYN","0.006638434",11256.3636363636
13,11215,"BROOKLYN","NORTHWEST BROOKLYN","0.040975163",36125
13,11216,"BROOKLYN","CENTRAL BROOKLYN","0.082179238",53269.0909090909
13,11217,"BROOKLYN","NORTHWEST BROOKLYN","0.040975163",77208.3333333333
13,11218,"BROOKLYN","BOROUGH PARK","0.012246767",11689.3006993007
13,11219,"BROOKLYN","BOROUGH PARK","0.012246767",9524.61538461538
13,11220,"BROOKLYN","BUSHWICK AND WILLIAMSBURG","0.00377704",12988.1118881119
13,11221,"BROOKLYN","SUNSET PARK","0.050932814",79770.7317073171
13,11222,"BROOKLYN","GREENPOINT","0.017740643",24300
13,11223,"BROOKLYN","SOUTHERN BROOKLYN","0.016596086",28600
13,11224,"BROOKLYN","SOUTHERN BROOKLYN","0.016596086",11000
13,11225,"BROOKLYN","FLATBUSH","0.031589791",20196.9696969697
13,11226,"BROOKLYN","FLATBUSH","0.031589791",17590.9090909091
13,11228,"BROOKLYN","SOUTHWEST BROOKLYN","0.006638434",6061.11888111888
13,11229,"BROOKLYN","SOUTHERN BROOKLYN","0.016596086",20900
13,11230,"BROOKLYN","BOROUGH PARK","0.012246767",10390.4895104895
13,11231,"BROOKLYN","NORTHWEST BROOKLYN","0.040975163",16291.6666666667
13,11232,"BROOKLYN","BUSHWICK AND WILLIAMSBURG","0.00377704",3463.4965034965
13,11233,"BROOKLYN","CENTRAL BROOKLYN","0.082179238",42989.0909090909
13,11234,"BROOKLYN","CANARSIE AND FLATLANDS","0.010415474",13421.048951049
13,11235,"BROOKLYN","SOUTHERN BROOKLYN","0.016596086",36300
13,11236,"BROOKLYN","CANARSIE AND FLATLANDS","0.010415474",16451.6083916084
13,11237,"BROOKLYN","#N/A","#N/A",36799.6503496504
13,11238,"BROOKLYN","CENTRAL BROOKLYN","0.082179238",38783.6363636364
13,11239,"BROOKLYN","CANARSIE AND FLATLANDS","0.010415474",0
13,11249,"BROOKLYN","#N/A","#N/A",4762.30769230769
13,11354,"QUEENS","NORTH QUEENS","0.009042005",2597.62237762238
13,11355,"QUEENS","NORTH QUEENS","0.009042005",3896.43356643357
13,11356,"QUEENS","NORTH QUEENS","0.009042005",1731.74825174825
13,11357,"QUEENS","NORTH QUEENS","0.009042005",3463.4965034965
13,11358,"QUEENS","NORTH QUEENS","0.009042005",6061.11888111888
13,11360,"QUEENS","NORTH QUEENS","0.009042005",865.874125874126
13,11361,"QUEENS","NORTHEAST QUEENS","0.002861394",2597.62237762238
13,11362,"QUEENS","NORTHEAST QUEENS","0.002861394",432.937062937063
13,11363,"QUEENS","NORTHEAST QUEENS","0.002861394",0
13,11364,"QUEENS","NORTHEAST QUEENS","0.002861394",865.874125874126
13,11365,"QUEENS","CENTRAL QUEENS","0.003090306",3030.55944055944
13,11366,"QUEENS","CENTRAL QUEENS","0.003090306",3030.55944055944
13,11367,"QUEENS","CENTRAL QUEENS","0.003090306",2597.62237762238
13,11368,"QUEENS","WEST QUEENS","0.02998741",13010.5263157895
13,11369,"QUEENS","WEST QUEENS","0.02998741",6505.26315789474
13,11370,"QUEENS","WEST QUEENS","0.02998741",7047.36842105263
13,11372,"QUEENS","WEST QUEENS","0.02998741",10300
13,11373,"QUEENS","WEST QUEENS","0.02998741",18431.5789473684
13,11374,"QUEENS","WEST CENTRAL QUEENS","0.025065812",5541.17647058824
13,11375,"QUEENS","WEST CENTRAL QUEENS","0.025065812",5541.17647058824
13,11377,"QUEENS","WEST QUEENS","0.02998741",18973.6842105263
13,11378,"QUEENS","WEST QUEENS","0.02998741",14636.8421052632
13,11379,"QUEENS","WEST CENTRAL QUEENS","0.025065812",10158.8235294118
13,11385,"QUEENS","WEST CENTRAL QUEENS","0.025065812",45714.7058823529
13,11411,"QUEENS","SOUTHEAST QUEENS","0.010644386",2597.62237762238
13,11412,"QUEENS","JAMAICA","0.030330777",26470.5882352941
13,11413,"QUEENS","SOUTHEAST QUEENS","0.010644386",10390.4895104895
13,11414,"QUEENS","SOUTHWEST QUEENS","0.018656289",14100
13,11415,"QUEENS","SOUTHWEST QUEENS","0.018656289",7050
13,11416,"QUEENS","SOUTHWEST QUEENS","0.018656289",15510
13,11417,"QUEENS","SOUTHWEST QUEENS","0.018656289",23970
13,11418,"QUEENS","SOUTHWEST QUEENS","0.018656289",21150
13,11419,"QUEENS","SOUTHWEST QUEENS","0.018656289",23970
13,11420,"QUEENS","SOUTHWEST QUEENS","0.018656289",28200
13,11421,"QUEENS","SOUTHWEST QUEENS","0.018656289",22560
13,11422,"QUEENS","SOUTHEAST QUEENS","0.010644386",3896.43356643357
13,11423,"QUEENS","JAMAICA","0.030330777",7279.41176470588
13,11426,"QUEENS","SOUTHEAST QUEENS","0.010644386",3463.4965034965
13,11427,"QUEENS","SOUTHEAST QUEENS","0.010644386",2164.68531468531
13,11428,"QUEENS","SOUTHEAST QUEENS","0.010644386",3030.55944055944
13,11429,"QUEENS","SOUTHEAST QUEENS","0.010644386",5628.18181818182
13,11432,"QUEENS","JAMAICA","0.030330777",9264.70588235294
13,11433,"QUEENS","JAMAICA","0.030330777",27794.1176470588
13,11434,"QUEENS","JAMAICA","0.030330777",21176.4705882353
13,11435,"QUEENS","JAMAICA","0.030330777",13897.0588235294
13,11436,"QUEENS","JAMAICA","0.030330777",17205.8823529412
13,11691,"QUEENS","ROCKAWAYS","0.006523978",6061.11888111888
13,11692,"QUEENS","ROCKAWAYS","0.006523978",1298.81118881119
13,11693,"QUEENS","ROCKAWAYS","0.006523978",2597.62237762238
13,11694,"QUEENS","ROCKAWAYS","0.006523978",0
