Year,Borough,Neighborhood,Total,Humans,sq_meter
11,MANHATTAN,UPPER WEST SIDE,57580.64516,215604,"5,438,960"
12,MANHATTAN,UPPER WEST SIDE,40697.73371,215887,"5,438,960"
13,MANHATTAN,UPPER WEST SIDE,47353.66877,217869,"5,438,960"
14,MANHATTAN,UPPER WEST SIDE,49802.97188,217384,"5,438,960"
15,MANHATTAN,UPPER WEST SIDE,48471.42856,215045,"5,438,960"
16,MANHATTAN,UPPER WEST SIDE,44741.78784,213540,"5,438,960"
17,MANHATTAN,UPPER WEST SIDE,43961.40351,214408,"5,438,960"
18,MANHATTAN,UPPER WEST SIDE,77805.81491,214241,"5,438,960"
19,MANHATTAN,UPPER WEST SIDE,64125.12826,212894,"5,438,960"
20,MANHATTAN,UPPER WEST SIDE,68969.95736,215104,"5,438,960"
11,QUEENS,WEST CENTRAL QUEENS,86515.38461,245978,"22,279,050"
12,QUEENS,WEST CENTRAL QUEENS,180916.6667,247417,"22,279,050"
13,QUEENS,WEST CENTRAL QUEENS,66955.88235,247255,"22,279,050"
14,QUEENS,WEST CENTRAL QUEENS,79769.23077,247301,"22,279,050"
15,QUEENS,WEST CENTRAL QUEENS,75200,251807,"22,279,050"
16,QUEENS,WEST CENTRAL QUEENS,85588.23529,253771,"22,279,050"
17,QUEENS,WEST CENTRAL QUEENS,117692.3077,260599,"22,279,050"
18,QUEENS,WEST CENTRAL QUEENS,192850,260709,"22,279,050"
19,QUEENS,WEST CENTRAL QUEENS,88825,262328,"22,279,050"
20,QUEENS,WEST CENTRAL QUEENS,104428.5714,258593,"22,279,050"
11,QUEENS,WEST QUEENS,157622.2222,462257,"32,342,450"
12,QUEENS,WEST QUEENS,154000,462159,"32,342,450"
13,QUEENS,WEST QUEENS,88905.26317,467030,"32,342,450"
14,QUEENS,WEST QUEENS,84099.99999,470226,"32,342,450"
15,QUEENS,WEST QUEENS,121714.2857,472896,"32,342,450"
16,QUEENS,WEST QUEENS,197800,470128,"32,342,450"
17,QUEENS,WEST QUEENS,113586.2069,471944,"32,342,450"
18,QUEENS,WEST QUEENS,130746,458568,"32,342,450"
19,QUEENS,WEST QUEENS,194464.2857,454789,"32,342,450"
20,QUEENS,WEST QUEENS,137759.3023,449376,"32,342,450"
