"Year","Borough","Neighborhood","Total","Humans","sq_meter","human_rat_ratio","rats_per_sqft"
15,"QUEENS","NORTHEAST QUEENS",5608.603352,90957,19709110,0.0616621409237332,0.000284569082622199
16,"QUEENS","NORTHEAST QUEENS",7598.022893,90165,19709110,0.0842679852825376,0.00038550816820242
17,"QUEENS","NORTHEAST QUEENS",8965.209635,90823,19709110,0.0987107850984883,0.000454876432015449
18,"QUEENS","NORTHEAST QUEENS",15231.86916,89725,19709110,0.169761706993592,0.000772833941258636
19,"QUEENS","NORTHEAST QUEENS",4599.067164,88855,19709110,0.0517592388047943,0.00023334727768022
20,"QUEENS","NORTHEAST QUEENS",4802.142311,89925,19709110,0.0534016381540172,0.000243650896006973
11,"BROOKLYN","NORTHWEST BROOKLYN",138547.619,229931,17408830,0.60256172069012,0.00795846814518839
12,"BROOKLYN","NORTHWEST BROOKLYN",143055,232353,17408830,0.615679590967192,0.00821738163908775
13,"BROOKLYN","NORTHWEST BROOKLYN",174958.3333,239485,17408830,0.730560716955133,0.010049976552129
14,"BROOKLYN","NORTHWEST BROOKLYN",182688.4616,243136,17408830,0.751383841142406,0.0104940114642971
15,"BROOKLYN","NORTHWEST BROOKLYN",129918,246166,17408830,0.527765816562807,0.00746276458555802
16,"BROOKLYN","NORTHWEST BROOKLYN",149407.3529,249816,17408830,0.598069590818843,0.00858227421946219
17,"BROOKLYN","NORTHWEST BROOKLYN",138541.3043,255437,17408830,0.542369759666767,0.00795810541547019
18,"BROOKLYN","NORTHWEST BROOKLYN",177333.3333,258295,17408830,0.686553488453125,0.0101864015732246
19,"BROOKLYN","NORTHWEST BROOKLYN",151985.5769,259781,17408830,0.585052705548135,0.00873037285676292
20,"BROOKLYN","NORTHWEST BROOKLYN",174533.3333,262916,17408830,0.663836865386663,0.0100255636536172
11,"QUEENS","NORTHWEST QUEENS",56471.42856,194376,18614290,0.290526755154957,0.0030337675280658
12,"QUEENS","NORTHWEST QUEENS",42534.70255,195588,18614290,0.217470921273289,0.00228505640290336
13,"QUEENS","NORTHWEST QUEENS",47480.62937,196599,18614290,0.2415100248221,0.00255076231056892
14,"QUEENS","NORTHWEST QUEENS",59269.96815,200605,18614290,0.295456086089579,0.00318411113988232
15,"QUEENS","NORTHWEST QUEENS",60143.53674,203106,18614290,0.296118956308529,0.00323104113774955
16,"QUEENS","NORTHWEST QUEENS",67407.38013,201924,18614290,0.333825499346289,0.00362127054698299
17,"QUEENS","NORTHWEST QUEENS",53479.47473,203739,18614290,0.26249012084088,0.00287303328410592
18,"QUEENS","NORTHWEST QUEENS",54287.99066,198847,18614290,0.273013878308448,0.00291646851209474
19,"QUEENS","NORTHWEST QUEENS",111162.6244,196895,18614290,0.564578198532213,0.00597189709626314
20,"QUEENS","NORTHWEST QUEENS",102738.6215,195898,18614290,0.524449568142605,0.00551934140383544
11,"STATEN ISLAND","PORT RICHMOND",24217.67956,67875,15869040,0.356798225561694,0.00152609606882332
12,"STATEN ISLAND","PORT RICHMOND",24625.35411,66477,15869040,0.370434196940295,0.00155178600028735
13,"STATEN ISLAND","PORT RICHMOND",22945.66434,66575,15869040,0.344658871047691,0.00144593903222879
14,"STATEN ISLAND","PORT RICHMOND",28306.43312,67110,15869040,0.421791582774549,0.00178375208078119
15,"STATEN ISLAND","PORT RICHMOND",27241.78771,66613,15869040,0.408956025250327,0.0017166626153819
16,"STATEN ISLAND","PORT RICHMOND",31191.88345,66371,15869040,0.469962535595365,0.0019655809960779
17,"STATEN ISLAND","PORT RICHMOND",31004.68332,68051,15869040,0.455609518155501,0.0019537844330848
18,"STATEN ISLAND","PORT RICHMOND",35178.36449,67413,15869040,0.521833540860071,0.00221679222498651
19,"STATEN ISLAND","PORT RICHMOND",42645.89552,69238,15869040,0.615931937953147,0.00268736454883219
20,"STATEN ISLAND","PORT RICHMOND",34723.18287,69274,15869040,0.501244086814678,0.00218810859825169
11,"QUEENS","ROCKAWAYS",13406.21547,113026,21794750,0.118611783748872,0.000615112147191411
12,"QUEENS","ROCKAWAYS",20595.75071,115352,21794750,0.178546975431722,0.000944986783973205
13,"QUEENS","ROCKAWAYS",9957.552448,116048,21794750,0.0858054636702054,0.000456878488993909
14,"QUEENS","ROCKAWAYS",16054.3949,117470,21794750,0.13666804205329,0.0007366175294509
15,"QUEENS","ROCKAWAYS",10816.59218,118917,21794750,0.0909591747185011,0.000496293473428234
16,"QUEENS","ROCKAWAYS",8797.710718,121237,21794750,0.0725662192070078,0.000403661923995458
17,"QUEENS","ROCKAWAYS",13447.81445,123012,21794750,0.10932115931779,0.000617020816939859
18,"QUEENS","ROCKAWAYS",11967.8972,125898,21794750,0.095060264658692,0.000549118351896672
19,"QUEENS","ROCKAWAYS",13379.10448,128437,21794750,0.104168615585851,0.000613868224228312
20,"QUEENS","ROCKAWAYS",11820.658,128662,21794750,0.0918737311715969,0.00054236263320295
11,"STATEN ISLAND","SOUTH SHORE",96800,190111,66837940,0.50917621810416,0.00144827922584089
12,"STATEN ISLAND","SOUTH SHORE",62560,191971,66837940,0.325882555177605,0.000935995334386428
13,"STATEN ISLAND","SOUTH SHORE",75716.66667,192397,66837940,0.393543904894567,0.00113283962177769
14,"STATEN ISLAND","SOUTH SHORE",73125.00001,194186,66837940,0.376571946535796,0.00109406423971176
15,"STATEN ISLAND","SOUTH SHORE",84211.11111,195020,66837940,0.431807563890883,0.00125992978104951
16,"STATEN ISLAND","SOUTH SHORE",174460,195026,66837940,0.894547393680843,0.0026101941502087
17,"STATEN ISLAND","SOUTH SHORE",45946.69937,194291,66837940,0.236483930650416,0.000687434402825701
18,"STATEN ISLAND","SOUTH SHORE",67523.07693,193832,66837940,0.348358769088695,0.00101025071882826
19,"STATEN ISLAND","SOUTH SHORE",57279.29105,193745,66837940,0.295642680069163,0.00085698767870464
20,"STATEN ISLAND","SOUTH SHORE",46913.23642,193282,66837940,0.242719117248373,0.000701895307066615
11,"BRONX","SOUTHEAST BRONX",99900,297602,36368140,0.335683227935296,0.00274690979522186
12,"BRONX","SOUTHEAST BRONX",76970.83333,301497,36368140,0.255295519789583,0.00211643579600167
13,"BRONX","SOUTHEAST BRONX",81120,305767,36368140,0.265300048729915,0.00223052374963361
14,"BRONX","SOUTHEAST BRONX",66344.82759,309048,36368140,0.214674832356139,0.00182425682451728
15,"BRONX","SOUTHEAST BRONX",71882.6087,308892,36368140,0.232711137549694,0.00197652694638769
16,"BRONX","SOUTHEAST BRONX",59925,308143,36368140,0.194471398019751,0.00164773342821492
17,"BRONX","SOUTHEAST BRONX",75406.25,310450,36368140,0.242893380576582,0.00207341508254203
18,"BRONX","SOUTHEAST BRONX",69666.66666,304148,36368140,0.229055152951852,0.00191559608657468
19,"BRONX","SOUTHEAST BRONX",74625,301133,36368140,0.247814088791331,0.00205193336805237
20,"BRONX","SOUTHEAST BRONX",84032.92684,303526,36368140,0.276855777890527,0.00231061931789748
11,"QUEENS","SOUTHEAST QUEENS",28974.72376,200415,34493800,0.144573628520819,0.00083999802167346
12,"QUEENS","SOUTHEAST QUEENS",31341.35977,199708,34493800,0.156935925300939,0.000908608496889296
13,"QUEENS","SOUTHEAST QUEENS",31171.46853,202012,34493800,0.154305034007881,0.000903683228000394
14,"QUEENS","SOUTHEAST QUEENS",27883.94905,200398,34493800,0.139142850976557,0.000808375680557086
15,"QUEENS","SOUTHEAST QUEENS",29244.86034,200254,34493800,0.146038832382874,0.000847829474862149
16,"QUEENS","SOUTHEAST QUEENS",25593.34027,201204,34493800,0.12720095162124,0.000741969289263578
17,"QUEENS","SOUTHEAST QUEENS",26148.5281,205778,34493800,0.127071543605244,0.000758064582620645
18,"QUEENS","SOUTHEAST QUEENS",26474.43925,203437,34493800,0.130135812315361,0.000767512980593614
19,"QUEENS","SOUTHEAST QUEENS",34283.95522,203361,34493800,0.16858667699313,0.000993916449332924
20,"QUEENS","SOUTHEAST QUEENS",24749.50268,205571,34493800,0.120393940195845,0.000717505832352481
11,"BROOKLYN","SOUTHERN BROOKLYN",82971.42857,266450,20799030,0.311395866278852,0.0039891970236112
12,"BROOKLYN","SOUTHERN BROOKLYN",42534.70255,270462,20799030,0.157266834342717,0.00204503299192318
13,"BROOKLYN","SOUTHERN BROOKLYN",96800,272801,20799030,0.35483740895378,0.0046540631942932
14,"BROOKLYN","SOUTHERN BROOKLYN",39291.0191,276322,20799030,0.142192873169708,0.00188907939937584
15,"BROOKLYN","SOUTHERN BROOKLYN",49068.18182,280786,20799030,0.17475295000463,0.00235915722127426
16,"BROOKLYN","SOUTHERN BROOKLYN",38390.01041,284325,20799030,0.135021578862218,0.00184575965369539
17,"BROOKLYN","SOUTHERN BROOKLYN",73981.25,292097,20799030,0.253276308897387,0.00355695674269425
18,"BROOKLYN","SOUTHERN BROOKLYN",68333.33334,290239,20799030,0.23543815042086,0.00328540962439114
19,"BROOKLYN","SOUTHERN BROOKLYN",69200,289077,20799030,0.239382586646464,0.00332707823393687
20,"BROOKLYN","SOUTHERN BROOKLYN",59242.10527,284917,20799030,0.207927590385972,0.00284831096786725
11,"BROOKLYN","SOUTHWEST BROOKLYN",23785.22099,192615,15065760,0.123485818809542,0.00157876011498922
12,"BROOKLYN","SOUTHWEST BROOKLYN",24177.6204,197258,15065760,0.122568516359286,0.00160480589097397
13,"BROOKLYN","SOUTHWEST BROOKLYN",25976.22378,199708,15065760,0.130071022592986,0.00172418940564565
14,"BROOKLYN","SOUTHWEST BROOKLYN",16476.87898,206938,15065760,0.0796222974030869,0.00109366397579677
15,"BROOKLYN","SOUTHWEST BROOKLYN",17226.42458,209288,15065760,0.0823096621879898,0.00114341557146802
16,"BROOKLYN","SOUTHWEST BROOKLYN",19594.90115,205714,15065760,0.0952531239973945,0.00130062480419176
17,"BROOKLYN","SOUTHWEST BROOKLYN",15315.56646,206909,15065760,0.0740207843061442,0.00101658107257782
18,"BROOKLYN","SOUTHWEST BROOKLYN",18858.50467,205749,15065760,0.0916578193332653,0.00125174599024543
19,"BROOKLYN","SOUTHWEST BROOKLYN",29684.88806,204774,15065760,0.144964146131833,0.00197035450319134
20,"BROOKLYN","SOUTHWEST BROOKLYN",31398.6228,202618,15065760,0.154964627032149,0.00208410480453691
11,"QUEENS","SOUTHWEST QUEENS",88111.11111,273298,27922540,0.322399399593118,0.00315555501433609
12,"QUEENS","SOUTHWEST QUEENS",100792.8571,278573,27922540,0.361818471639391,0.00360973095928952
13,"QUEENS","SOUTHWEST QUEENS",156510,281251,27922540,0.556478021411479,0.0056051491017651
14,"QUEENS","SOUTHWEST QUEENS",110500,283319,27922540,0.390019730409891,0.00395737637048778
15,"QUEENS","SOUTHWEST QUEENS",59176.92307,289601,27922540,0.204339498378804,0.00211932449805784
16,"QUEENS","SOUTHWEST QUEENS",75378.57143,292559,27922540,0.257652546768344,0.00269955997663536
17,"QUEENS","SOUTHWEST QUEENS",112612.5,293717,27922540,0.38340477398312,0.0040330320952177
18,"QUEENS","SOUTHWEST QUEENS",90257.14286,285269,27922540,0.316393098654253,0.00323241162372764
19,"QUEENS","SOUTHWEST QUEENS",130835,280764,27922540,0.465996352808765,0.00468564106273999
20,"QUEENS","SOUTHWEST QUEENS",95558.82354,275920,27922540,0.346328006451145,0.00342228262686704
11,"STATEN ISLAND","STAPLETON AND ST. GEORGE",41516.0221,120386,30524460,0.344857559018491,0.00136009030462783
12,"STATEN ISLAND","STAPLETON AND ST. GEORGE",31789.09349,122005,30524460,0.260555661571247,0.0010414301674788
13,"STATEN ISLAND","STAPLETON AND ST. GEORGE",35933.77622,123975,30524460,0.289846954789272,0.00117721251153993
14,"STATEN ISLAND","STAPLETON AND ST. GEORGE",59375,122702,30524460,0.483895943016414,0.00194516135584381
15,"STATEN ISLAND","STAPLETON AND ST. GEORGE",42064.52514,123248,30524460,0.34129985995716,0.00137805960007155
16,"STATEN ISLAND","STAPLETON AND ST. GEORGE",25593.34027,123106,30524460,0.207896774080873,0.000838453498276464
17,"STATEN ISLAND","STAPLETON AND ST. GEORGE",35487.28813,123646,30524460,0.287007166669363,0.00116258528832287
18,"STATEN ISLAND","STAPLETON AND ST. GEORGE",39892.99066,122095,30524460,0.326737300135141,0.00130691880085676
19,"STATEN ISLAND","STAPLETON AND ST. GEORGE",38464.92537,122118,30524460,0.314981619171621,0.0012601345075392
20,"STATEN ISLAND","STAPLETON AND ST. GEORGE",44327.46748,123102,30524460,0.360087305486507,0.00145219497674979
11,"BROOKLYN","SUNSET PARK",13838.67403,127465,9835600,0.10856842293963,0.00140699845764366
12,"BROOKLYN","SUNSET PARK",19700.28329,129179,9835600,0.152503760595762,0.00200295694111188
13,"BROOKLYN","SUNSET PARK",16451.60839,131913,9835600,0.124715595809359,0.00167265935885965
14,"BROOKLYN","SUNSET PARK",8872.165605,131167,9835600,0.0676402266195003,0.000902046200028468
15,"BROOKLYN","SUNSET PARK",10415.97765,131541,9835600,0.0791842668825689,0.00105900785412176
16,"BROOKLYN","SUNSET PARK",13596.46202,130755,9835600,0.103984260793086,0.00138237240432714
17,"BROOKLYN","SUNSET PARK",12327.16325,129404,9835600,0.0952610680504467,0.00125332092094026
18,"BROOKLYN","SUNSET PARK",15957.19626,123245,9835600,0.129475404762871,0.00162239174630933
19,"BROOKLYN","SUNSET PARK",29684.88806,119600,9835600,0.248201405183947,0.00301810647647322
20,"BROOKLYN","SUNSET PARK",47600,117158,9835600,0.406288943136619,0.00483956240595388
11,"MANHATTAN","UPPER EAST SIDE",54825,215358,5139754,0.254576101189647,0.0106668529272024
12,"MANHATTAN","UPPER EAST SIDE",59733.33334,217154,5139754,0.27507360370981,0.0116218272975711
13,"MANHATTAN","UPPER EAST SIDE",88400,215270,5139754,0.410647094346634,0.017199266735334
14,"MANHATTAN","UPPER EAST SIDE",59957.69231,218946,5139754,0.273846940843861,0.0116654789917961
15,"MANHATTAN","UPPER EAST SIDE",90112.5,220159,5139754,0.409306455788771,0.0175324538878709
16,"MANHATTAN","UPPER EAST SIDE",58000,221557,5139754,0.261783649354342,0.0112845867720517
17,"MANHATTAN","UPPER EAST SIDE",73062.5,222145,5139754,0.328895541200567,0.0142151745005695
18,"MANHATTAN","UPPER EAST SIDE",73214.28571,214611,5139754,0.341148802764071,0.014244706207729
19,"MANHATTAN","UPPER EAST SIDE",37788.46153,213906,5139754,0.176659193898254,0.00735219263995903
20,"MANHATTAN","UPPER EAST SIDE",58190,213908,5139754,0.272032836546553,0.0113215535218223
11,"MANHATTAN","UPPER WEST SIDE",57580.64516,215604,5438960,0.26706668317842,0.0105867013473164
12,"MANHATTAN","UPPER WEST SIDE",40697.73371,215887,5438960,0.188514054621168,0.00748263155272332
13,"MANHATTAN","UPPER WEST SIDE",47353.66877,217869,5438960,0.217349273049401,0.00870638297946666
14,"MANHATTAN","UPPER WEST SIDE",49802.97188,217384,5438960,0.22910136845398,0.00915670861341139
15,"MANHATTAN","UPPER WEST SIDE",48471.42856,215045,5438960,0.225401327908112,0.00891189281774457
16,"MANHATTAN","UPPER WEST SIDE",44741.78784,213540,5438960,0.209524153975836,0.00822616600232397
17,"MANHATTAN","UPPER WEST SIDE",43961.40351,214408,5438960,0.205036209050035,0.00808268557040316
18,"MANHATTAN","UPPER WEST SIDE",77805.81491,214241,5438960,0.363169584299924,0.0143052743373733
19,"MANHATTAN","UPPER WEST SIDE",64125.12826,212894,5438960,0.301206836547766,0.0117899613639372
20,"MANHATTAN","UPPER WEST SIDE",68969.95736,215104,5438960,0.320635401294258,0.0126807252415903
11,"QUEENS","WEST CENTRAL QUEENS",86515.38461,245978,22279050,0.35172000996024,0.00388326183611958
12,"QUEENS","WEST CENTRAL QUEENS",180916.6667,247417,22279050,0.731221648876189,0.00812048389406191
13,"QUEENS","WEST CENTRAL QUEENS",66955.88235,247255,22279050,0.270796879132879,0.00300532932732769
14,"QUEENS","WEST CENTRAL QUEENS",79769.23077,247301,22279050,0.322559272991213,0.00358045925521959
15,"QUEENS","WEST CENTRAL QUEENS",75200,251807,22279050,0.298641419817559,0.00337536833931429
16,"QUEENS","WEST CENTRAL QUEENS",85588.23529,253771,22279050,0.337265626450619,0.00384164653744213
17,"QUEENS","WEST CENTRAL QUEENS",117692.3077,260599,22279050,0.451622253730828,0.00528264480307733
18,"QUEENS","WEST CENTRAL QUEENS",192850,260709,22279050,0.739713627070795,0.00865611415208458
19,"QUEENS","WEST CENTRAL QUEENS",88825,262328,22279050,0.33860281784636,0.00398692942472861
20,"QUEENS","WEST CENTRAL QUEENS",104428.5714,258593,22279050,0.403833713209561,0.0046872991173322
11,"QUEENS","WEST QUEENS",157622.2222,462257,32342450,0.340983959572273,0.00487353995136423
12,"QUEENS","WEST QUEENS",154000,462159,32342450,0.333218654186113,0.00476154403887151
13,"QUEENS","WEST QUEENS",88905.26317,467030,32342450,0.190363066976426,0.00274887224591829
14,"QUEENS","WEST QUEENS",84099.99999,470226,32342450,0.178850169897028,0.00260029775078882
15,"QUEENS","WEST QUEENS",121714.2857,472896,32342450,0.257380662344363,0.00376329825662558
16,"QUEENS","WEST QUEENS",197800,470128,32342450,0.420736480277712,0.0061158013694077
17,"QUEENS","WEST QUEENS",113586.2069,471944,32342450,0.240677298365908,0.00351198523612157
18,"QUEENS","WEST QUEENS",130746,458568,32342450,0.285118019573978,0.00404255088900192
19,"QUEENS","WEST QUEENS",194464.2857,454789,32342450,0.427592324572494,0.00601266402823534
20,"QUEENS","WEST QUEENS",137759.3023,449376,32342450,0.306556875089012,0.00425939600432249
