"Year","Borough","Neighborhood","Total","Humans","sq_meter","human_rat_ratio","rats_per_sqft"
19,"BROOKLYN","CENTRAL BROOKLYN",254022.1239,335096,15586330,0.758057762253205,0.0162977509073656
20,"BROOKLYN","CENTRAL BROOKLYN",294745.9016,335884,15586330,0.877522899572471,0.0189105390172029
11,"MANHATTAN","CENTRAL HARLEM",45100,166792,5723382,0.270396661710394,0.00787995629157725
12,"MANHATTAN","CENTRAL HARLEM",42556.81818,169650,5723382,0.250850681874447,0.00743560681079823
13,"MANHATTAN","CENTRAL HARLEM",43400,172914,5723382,0.250991822524492,0.00758292911428942
14,"MANHATTAN","CENTRAL HARLEM",64894.11765,174952,5723382,0.370925268930907,0.0113384215224495
15,"MANHATTAN","CENTRAL HARLEM",49932.97872,177406,5723382,0.281461611895877,0.00872438336633829
16,"MANHATTAN","CENTRAL HARLEM",55353.65854,180601,5723382,0.306496965908273,0.00967149467570049
17,"MANHATTAN","CENTRAL HARLEM",47694.73684,184020,5723382,0.259182354309314,0.00833331356180664
18,"MANHATTAN","CENTRAL HARLEM",66316,182658,5723382,0.363061021143339,0.0115868554641294
19,"MANHATTAN","CENTRAL HARLEM",63920,182949,5723382,0.349386987630433,0.0111682218660226
20,"MANHATTAN","CENTRAL HARLEM",61013.9785,180928,5723382,0.337227949792183,0.0106604763582092
11,"QUEENS","CENTRAL QUEENS",8649.17127,94278,15463470,0.0917411407751543,0.000559329262448855
12,"QUEENS","CENTRAL QUEENS",4029.603399,94537,15463470,0.0426246168061182,0.000260588561234962
13,"QUEENS","CENTRAL QUEENS",8658.74126,96445,15463470,0.0897790581160247,0.000559948139712497
14,"QUEENS","CENTRAL QUEENS",8449.681528,97866,15463470,0.086339295853514,0.000546428552452975
15,"QUEENS","CENTRAL QUEENS",8813.519553,100900,15463470,0.0873490540436075,0.000569957425661899
16,"QUEENS","CENTRAL QUEENS",5198.647243,101030,15463470,0.0514564707809562,0.000336188917687945
17,"QUEENS","CENTRAL QUEENS",4482.604818,103369,15463470,0.0433650786792946,0.000289883500792513
18,"QUEENS","CENTRAL QUEENS",6890.607477,101457,15463470,0.0679165309145746,0.000445605512669537
19,"QUEENS","CENTRAL QUEENS",12124.81343,100305,15463470,0.120879451971487,0.00078409396015254
20,"QUEENS","CENTRAL QUEENS",8496.097934,97980,15463470,0.0867125733210859,0.000549430233576293
11,"MANHATTAN","CHELSEA AND CLINTON",87360,140600,7128962,0.621337126600285,0.0122542384150736
12,"MANHATTAN","CHELSEA AND CLINTON",38608.33334,141343,7128962,0.273153487190735,0.00541570194089967
13,"MANHATTAN","CHELSEA AND CLINTON",49000,142680,7128962,0.343425848051584,0.00687337090589065
14,"MANHATTAN","CHELSEA AND CLINTON",43391.66666,146649,7128962,0.295887913725972,0.00608667386079488
15,"MANHATTAN","CHELSEA AND CLINTON",39530.55556,149683,7128962,0.264095158167594,0.00554506470366934
16,"MANHATTAN","CHELSEA AND CLINTON",36180,150038,7128962,0.241138911475759,0.00507507264030865
17,"MANHATTAN","CHELSEA AND CLINTON",49666.66666,152837,7128962,0.324964940819304,0.00696688615537578
18,"MANHATTAN","CHELSEA AND CLINTON",42068.97197,154214,7128962,0.272796062419754,0.00590113567304749
19,"MANHATTAN","CHELSEA AND CLINTON",54337.5,156857,7128962,0.346414249921903,0.00762207737956802
20,"MANHATTAN","CHELSEA AND CLINTON",45748.14815,157141,7128962,0.291128019740233,0.00641722429576704
11,"MANHATTAN","EAST HARLEM",31569.47514,113741,5753160,0.277555807844137,0.00548732785808147
12,"MANHATTAN","EAST HARLEM",30445.89235,113740,5753160,0.267679728767364,0.00529202948466582
13,"MANHATTAN","EAST HARLEM",24415.38462,110942,5753160,0.220073413315066,0.00424382159022172
14,"MANHATTAN","EAST HARLEM",29640,112617,5753160,0.263192946002824,0.00515195127547296
15,"MANHATTAN","EAST HARLEM",25025,113171,5753160,0.221125553366145,0.00434978342337081
16,"MANHATTAN","EAST HARLEM",27204.54545,113598,5753160,0.239480848694519,0.00472862660694297
17,"MANHATTAN","EAST HARLEM",31017.3913,116232,5753160,0.266857589132081,0.00539136601450333
18,"MANHATTAN","EAST HARLEM",27391.30434,115340,5753160,0.237483131090688,0.00476108857393154
19,"MANHATTAN","EAST HARLEM",32250,112761,5753160,0.286003139383297,0.0056056150011472
20,"MANHATTAN","EAST HARLEM",35874.28572,111616,5753160,0.321408093104931,0.00623557935465031
11,"BROOKLYN","EAST NEW YORK AND NEW LOTS",80607.14286,183123,15868970,0.440180331580413,0.00507954472533504
12,"BROOKLYN","EAST NEW YORK AND NEW LOTS",119350,186052,15868970,0.641487326123879,0.00752096701928355
13,"BROOKLYN","EAST NEW YORK AND NEW LOTS",134250,185598,15868970,0.723337535964827,0.00845990634552841
14,"BROOKLYN","EAST NEW YORK AND NEW LOTS",87289.47368,185727,15868970,0.469988066786197,0.00550063889968914
15,"BROOKLYN","EAST NEW YORK AND NEW LOTS",102857.1429,188504,15868970,0.545649656771209,0.00648165211100657
16,"BROOKLYN","EAST NEW YORK AND NEW LOTS",102608.6957,188966,15868970,0.543000834541664,0.00646599594680688
17,"BROOKLYN","EAST NEW YORK AND NEW LOTS",93276.92308,191725,15868970,0.486514137853697,0.00587794438328385
18,"BROOKLYN","EAST NEW YORK AND NEW LOTS",119542.1053,190632,15868970,0.627083098850141,0.00753307273881039
19,"BROOKLYN","EAST NEW YORK AND NEW LOTS",133162.5,192396,15868970,0.692127175201148,0.00839137637792497
20,"BROOKLYN","EAST NEW YORK AND NEW LOTS",138272,193493,15868970,0.714609830846594,0.00871335694755236
11,"BROOKLYN","FLATBUSH",124516.6667,303254,15436210,0.410601893792003,0.00806653101376568
12,"BROOKLYN","FLATBUSH",90893.20113,303707,15436210,0.299279243250896,0.00588831074013634
13,"BROOKLYN","FLATBUSH",70891.09557,302381,15436210,0.234442956303471,0.00459251950899865
14,"BROOKLYN","FLATBUSH",61121.27561,301965,15436210,0.202411788154256,0.00395960378940167
15,"BROOKLYN","FLATBUSH",87435,302525,15436210,0.28901743657549,0.00566427899076263
16,"BROOKLYN","FLATBUSH",113847.6067,306465,15436210,0.371486488506028,0.00737536005923734
17,"BROOKLYN","FLATBUSH",91091.65923,307059,15436210,0.296658489834201,0.00590116739989933
18,"BROOKLYN","FLATBUSH",95073.98918,301650,15436210,0.315179808320902,0.00615915365105813
19,"BROOKLYN","FLATBUSH",92924.86491,297167,15436210,0.312702503676384,0.00601992748932542
20,"BROOKLYN","FLATBUSH",90917.20774,292416,15436210,0.310917349734625,0.00588986595414289
11,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",18163.25967,127158,4349502,0.142840086113339,0.00417594006624207
12,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",17461.61473,127474,4349502,0.136981774557949,0.00401462391096728
13,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",17750.41958,127613,4349502,0.139095700124595,0.00408102343210786
14,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",25349.04459,126797,4349502,0.19991833079647,0.00582803378179847
15,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",24838.10056,129167,4349502,0.192294475833611,0.0057105619355963
