"BBL","Borough","Incident Zip","Year","count"
4001160020,"QUEENS",11104,"19",5
4001160020,"QUEENS",11104,"21",1
4001170001,"QUEENS",11104,"19",1
4001170001,"QUEENS",11104,"21",1
4001190158,"QUEENS",11104,"20",1
4001250010,"QUEENS",11104,"19",1
4001280001,"QUEENS",11377,"21",2
4001280007,"QUEENS",11377,"19",2
4001280030,"QUEENS",11377,"19",1
4001280037,"QUEENS",11377,"19",1
4001280038,"QUEENS",11377,"18",6
4001280038,"QUEENS",11377,"19",4
4001280039,"QUEENS",11377,"18",2
4001280039,"QUEENS",11377,"19",3
4001280039,"QUEENS",11377,"20",2
4001280039,"QUEENS",11377,"21",4
4001280136,"QUEENS",11377,"18",1
4001280171,"QUEENS",11377,"20",1
4001290039,"QUEENS",11377,"20",1
4001290057,"QUEENS",11377,"21",1
4001290067,"QUEENS",11377,"19",1
4001290139,"QUEENS",11377,"19",1
4001290139,"QUEENS",11377,"20",1
4001290139,"QUEENS",11377,"21",1
4001310004,"QUEENS",11377,"18",1
4001310004,"QUEENS",11377,"21",1
4001310007,"QUEENS",11377,"19",1
4001310007,"QUEENS",11377,"20",1
4001310007,"QUEENS",11377,"21",1
4001310011,"QUEENS",11377,"17",1
4001310017,"QUEENS",11377,"19",1
4001320026,"QUEENS",11104,"19",1
4001320028,"QUEENS",11104,"19",1
4001320056,"QUEENS",11377,"21",1
4001320126,"QUEENS",11104,"19",1
4001330035,"QUEENS",11104,"20",2
4001330054,"QUEENS",11104,"14",2
4001350001,"QUEENS",11104,"19",3
4001350003,"QUEENS",11104,"19",1
4001350005,"QUEENS",11104,"19",2
4001350012,"QUEENS",11104,"20",1
4001350027,"QUEENS",11104,"17",1
4001360007,"QUEENS",11104,"16",2
4001360027,"QUEENS",11104,"18",1
4001360028,"QUEENS",11104,"21",1
4001360031,"QUEENS",11104,"15",1
4001360033,"QUEENS",11104,"19",1
4001370004,"QUEENS",11104,"17",1
4001370004,"QUEENS",11104,"19",1
4001370013,"QUEENS",11104,"17",1
4001370013,"QUEENS",11104,"18",1
4001370020,"QUEENS",11104,"19",1
4001380005,"QUEENS",11104,"20",1
4001390024,"QUEENS",11104,"20",1
4001397501,"QUEENS",11104,"15",1
4001400020,"QUEENS",11104,"18",2
4001400025,"QUEENS",11104,"18",1
4001400040,"QUEENS",11104,"18",6
4001400040,"QUEENS",11104,"19",4
4001400040,"QUEENS",11104,"21",1
4001410015,"QUEENS",11104,"17",1
4001410015,"QUEENS",11104,"19",2
4001410027,"QUEENS",11104,"19",1
4001410047,"QUEENS",11104,"21",1
4001410051,"QUEENS",11104,"21",1
4001430028,"QUEENS",11101,"21",1
4001430500,"QUEENS",11101,"16",1
4001480001,"QUEENS",11104,"16",1
4001480001,"QUEENS",11104,"19",1
4001490001,"QUEENS",11104,"17",1
4001510054,"QUEENS",11377,"17",1
4001510063,"QUEENS",11377,"21",1
4001530003,"QUEENS",11377,"20",1
4001530004,"QUEENS",11377,"19",1
4001530005,"QUEENS",11377,"19",1
4001530005,"QUEENS",11377,"20",1
4001530012,"QUEENS",11377,"19",4
4001530012,"QUEENS",11377,"21",14
4001530046,"QUEENS",11377,"19",1
4001530047,"QUEENS",11377,"19",1
4001530048,"QUEENS",11377,"19",1
4001530048,"QUEENS",11377,"20",1
4001560005,"QUEENS",11104,"21",2
4001570005,"QUEENS",11104,"19",1
4001570013,"QUEENS",11104,"21",2
4001570028,"QUEENS",11104,"21",6
4001570036,"QUEENS",11104,"20",1
4001570133,"QUEENS",11104,"15",1
4001590001,"QUEENS",11104,"20",1
4001597501,"QUEENS",11104,"19",1
4001600005,"QUEENS",11104,"20",2
4001600009,"QUEENS",11104,"21",1
4001600023,"QUEENS",11104,"21",1
4001607501,"QUEENS",11104,"19",2
4001610026,"QUEENS",11104,"15",2
4001610033,"QUEENS",11104,"18",1
4001620011,"QUEENS",11104,"17",1
4001620011,"QUEENS",11104,"18",1
4001620042,"QUEENS",11104,"21",1
4001630009,"QUEENS",11104,"21",1
4001630011,"QUEENS",11104,"21",2
4001630019,"QUEENS",11104,"21",1
4001640001,"QUEENS",11104,"16",2
4001640006,"QUEENS",11104,"19",2
4001640007,"QUEENS",11104,"19",4
4001640008,"QUEENS",11104,"19",4
4001640009,"QUEENS",11104,"19",3
4001650024,"QUEENS",11377,"19",1
4001690001,"QUEENS",11104,"21",1
4001690011,"QUEENS",11104,"14",1
4001690022,"QUEENS",11104,"18",1
4001700021,"QUEENS",11377,"20",1
4001710043,"QUEENS",11377,"20",1
4001710050,"QUEENS",11377,"14",1
4001710053,"QUEENS",11377,"14",1
4001710056,"QUEENS",11377,"21",1
4001730015,"QUEENS",11377,"14",1
4001800072,"QUEENS",11377,"19",1
4001830289,"QUEENS",11104,"19",2
4001840001,"QUEENS",11104,"20",1
4001840009,"QUEENS",11104,"18",2
4001840023,"QUEENS",11104,"14",1
4001840029,"QUEENS",11104,"17",2
4001840029,"QUEENS",11104,"18",1
4001840037,"QUEENS",11104,"17",1
4001840037,"QUEENS",11104,"19",1
4001847501,"QUEENS",11104,"21",1
4001850009,"QUEENS",11104,"15",1
4001850017,"QUEENS",11104,"14",4
4001850017,"QUEENS",11104,"15",5
4001850017,"QUEENS",11104,"16",2
4001850027,"QUEENS",11104,"14",3
4001850027,"QUEENS",11104,"16",1
4001860016,"QUEENS",11104,"16",4
4001860016,"QUEENS",11104,"18",1
4001860026,"QUEENS",11104,"16",1
4001860034,"QUEENS",11104,"14",1
4001860035,"QUEENS",11104,"16",1
4001860035,"QUEENS",11104,"19",1
4001860039,"QUEENS",11104,"18",1
4001860042,"QUEENS",11104,"14",1
4001860130,"QUEENS",11104,"18",1
4001860130,"QUEENS",11104,"21",1
4001870012,"QUEENS",11104,"20",2
4001870024,"QUEENS",11104,"17",1
4001870124,"QUEENS",11104,"16",3
4001880011,"QUEENS",11104,"20",2
4001880029,"QUEENS",11104,"20",1
4001880030,"QUEENS",11104,"20",1
4001880035,"QUEENS",11104,"20",1
4001880035,"QUEENS",11104,"21",1
4001890009,"QUEENS",11104,"19",1
4001890010,"QUEENS",11104,"19",1
4001890010,"QUEENS",11104,"20",1
4001890031,"QUEENS",11104,"16",1
4001890039,"QUEENS",11104,"21",2
4001900016,"QUEENS",11104,"19",1
4001900016,"QUEENS",11104,"21",2
4001900030,"QUEENS",11104,"15",1
4001900040,"QUEENS",11104,"21",2
4001910005,"QUEENS",11104,"19",1
4001910040,"QUEENS",11104,"21",1
4001910044,"QUEENS",11104,"18",1
4001930004,"QUEENS",11104,"21",1
4001930047,"QUEENS",11104,"19",1
4001940022,"QUEENS",11104,"21",1
4001950005,"QUEENS",11104,"14",1
4001950007,"QUEENS",11104,"17",1
4001950017,"QUEENS",11104,"20",3
4001950037,"QUEENS",11104,"20",1
4001950040,"QUEENS",11104,"19",1
4001950041,"QUEENS",11104,"17",1
4001950041,"QUEENS",11104,"20",2
4001950043,"QUEENS",11104,"21",1
4001950052,"QUEENS",11104,"14",1
4001950053,"QUEENS",11104,"15",1
4001960022,"QUEENS",11104,"19",1
4001990033,"QUEENS",11104,"17",1
4001990052,"QUEENS",11104,"14",1
4001997501,"QUEENS",11104,"21",1
4002000009,"QUEENS",11104,"15",1
4002000010,"QUEENS",11104,"16",1
4002000011,"QUEENS",11104,"15",1
4002000023,"QUEENS",11104,"16",1
4002000023,"QUEENS",11104,"18",3
4002000023,"QUEENS",11104,"19",1
