"BBL","Borough","Zip","Month","Year","count","Neighborhood"
3012300025,"BROOKLYN",11213,"12","2010",1,"CENTRAL BROOKLYN"
3012320001,"BROOKLYN",11216,"05","2010",1,"CENTRAL BROOKLYN"
3012340005,"BROOKLYN",11216,"05","2010",1,"CENTRAL BROOKLYN"
3012340048,"BROOKLYN",11216,"05","2010",1,"CENTRAL BROOKLYN"
3012370012,"BROOKLYN",11213,"07","2010",1,"CENTRAL BROOKLYN"
3012370081,"BROOKLYN",11213,"01","2010",1,"CENTRAL BROOKLYN"
3012380046,"BROOKLYN",11216,"12","2010",1,"CENTRAL BROOKLYN"
3012380058,"BROOKLYN",11216,"06","2010",1,"CENTRAL BROOKLYN"
3012390021,"BROOKLYN",11216,"08","2010",1,"CENTRAL BROOKLYN"
3012390022,"BROOKLYN",11216,"08","2010",1,"CENTRAL BROOKLYN"
3012390027,"BROOKLYN",11216,"03","2010",1,"CENTRAL BROOKLYN"
3012400021,"BROOKLYN",11216,"01","2010",1,"CENTRAL BROOKLYN"
3012410021,"BROOKLYN",11216,"04","2010",2,"CENTRAL BROOKLYN"
3012410021,"BROOKLYN",11216,"07","2010",1,"CENTRAL BROOKLYN"
3012410057,"BROOKLYN",11216,"11","2010",1,"CENTRAL BROOKLYN"
3012410067,"BROOKLYN",11216,"04","2010",1,"CENTRAL BROOKLYN"
3012410073,"BROOKLYN",11216,"01","2010",1,"CENTRAL BROOKLYN"
3012430065,"BROOKLYN",11213,"03","2010",1,"CENTRAL BROOKLYN"
3012440044,"BROOKLYN",11213,"10","2010",1,"CENTRAL BROOKLYN"
3012440044,"BROOKLYN",11213,"12","2010",1,"CENTRAL BROOKLYN"
3012450002,"BROOKLYN",11238,"07","2010",1,"CENTRAL BROOKLYN"
3012450081,"BROOKLYN",11216,"10","2010",1,"CENTRAL BROOKLYN"
3012520077,"BROOKLYN",11216,"10","2010",1,"CENTRAL BROOKLYN"
3012530033,"BROOKLYN",11216,"11","2010",1,"CENTRAL BROOKLYN"
3012530038,"BROOKLYN",11216,"08","2010",2,"CENTRAL BROOKLYN"
3012540015,"BROOKLYN",11216,"05","2010",1,"CENTRAL BROOKLYN"
3012580066,"BROOKLYN",11213,"03","2010",1,"CENTRAL BROOKLYN"
3012590045,"BROOKLYN",11216,"03","2010",1,"CENTRAL BROOKLYN"
3012590056,"BROOKLYN",11216,"04","2010",1,"CENTRAL BROOKLYN"
3012590151,"BROOKLYN",11216,"04","2010",1,"CENTRAL BROOKLYN"
3012640016,"BROOKLYN",11213,"03","2010",1,"CENTRAL BROOKLYN"
3012640071,"BROOKLYN",11213,"11","2010",1,"CENTRAL BROOKLYN"
3012640073,"BROOKLYN",11213,"07","2010",1,"CENTRAL BROOKLYN"
3012650074,"BROOKLYN",11213,"04","2010",1,"CENTRAL BROOKLYN"
3012770007,"BROOKLYN",11213,"09","2010",1,"CENTRAL BROOKLYN"
3012790045,"BROOKLYN",11213,"12","2010",1,"CENTRAL BROOKLYN"
3012900043,"BROOKLYN",11213,"05","2010",2,"CENTRAL BROOKLYN"
3012910008,"BROOKLYN",11213,"08","2010",1,"CENTRAL BROOKLYN"
3013340175,"BROOKLYN",11213,"07","2010",1,"CENTRAL BROOKLYN"
3013380060,"BROOKLYN",11233,"05","2010",2,"CENTRAL BROOKLYN"
3013380060,"BROOKLYN",11233,"06","2010",2,"CENTRAL BROOKLYN"
3013380060,"BROOKLYN",11233,"11","2010",1,"CENTRAL BROOKLYN"
3013390009,"BROOKLYN",11233,"07","2010",1,"CENTRAL BROOKLYN"
3013400047,"BROOKLYN",11213,"07","2010",1,"CENTRAL BROOKLYN"
3013440107,"BROOKLYN",11233,"08","2010",1,"CENTRAL BROOKLYN"
3013440121,"BROOKLYN",11233,"04","2010",1,"CENTRAL BROOKLYN"
3013440125,"BROOKLYN",11233,"01","2010",1,"CENTRAL BROOKLYN"
3013440125,"BROOKLYN",11233,"04","2010",1,"CENTRAL BROOKLYN"
3013570084,"BROOKLYN",11233,"06","2010",1,"CENTRAL BROOKLYN"
3013600088,"BROOKLYN",11213,"09","2010",1,"CENTRAL BROOKLYN"
3013630056,"BROOKLYN",11233,"04","2010",1,"CENTRAL BROOKLYN"
3013630078,"BROOKLYN",11233,"02","2010",1,"CENTRAL BROOKLYN"
3013650067,"BROOKLYN",11213,"11","2010",1,"CENTRAL BROOKLYN"
3013730112,"BROOKLYN",11213,"08","2010",1,"CENTRAL BROOKLYN"
3013750052,"BROOKLYN",11233,"11","2010",1,"CENTRAL BROOKLYN"
3013760022,"BROOKLYN",11213,"07","2010",1,"CENTRAL BROOKLYN"
3013780049,"BROOKLYN",11213,"11","2010",1,"CENTRAL BROOKLYN"
3013780060,"BROOKLYN",11213,"03","2010",1,"CENTRAL BROOKLYN"
3013800054,"BROOKLYN",11213,"05","2010",1,"CENTRAL BROOKLYN"
3013810012,"BROOKLYN",11233,"02","2010",1,"CENTRAL BROOKLYN"
3013810060,"BROOKLYN",11233,"09","2010",1,"CENTRAL BROOKLYN"
3013810061,"BROOKLYN",11233,"05","2010",1,"CENTRAL BROOKLYN"
3013830070,"BROOKLYN",11213,"03","2010",1,"CENTRAL BROOKLYN"
3013860065,"BROOKLYN",11213,"09","2010",1,"CENTRAL BROOKLYN"
3013880010,"BROOKLYN",11213,"09","2010",1,"CENTRAL BROOKLYN"
3013890016,"BROOKLYN",11213,"10","2010",1,"CENTRAL BROOKLYN"
3013890072,"BROOKLYN",11213,"01","2010",1,"CENTRAL BROOKLYN"
3013910014,"BROOKLYN",11213,"06","2010",1,"CENTRAL BROOKLYN"
3013920023,"BROOKLYN",11213,"09","2010",1,"CENTRAL BROOKLYN"
3013930066,"BROOKLYN",11233,"03","2010",1,"CENTRAL BROOKLYN"
3013950077,"BROOKLYN",11213,"03","2010",1,"CENTRAL BROOKLYN"
3013960030,"BROOKLYN",11213,"01","2010",1,"CENTRAL BROOKLYN"
3013960030,"BROOKLYN",11213,"03","2010",1,"CENTRAL BROOKLYN"
3013960030,"BROOKLYN",11213,"04","2010",1,"CENTRAL BROOKLYN"
3013970035,"BROOKLYN",11213,"01","2010",1,"CENTRAL BROOKLYN"
3013990004,"BROOKLYN",11233,"09","2010",1,"CENTRAL BROOKLYN"
3014010011,"BROOKLYN",11213,"10","2010",1,"CENTRAL BROOKLYN"
3014010031,"BROOKLYN",11213,"03","2010",2,"CENTRAL BROOKLYN"
3014010032,"BROOKLYN",11213,"01","2010",1,"CENTRAL BROOKLYN"
3014010039,"BROOKLYN",11213,"06","2010",1,"CENTRAL BROOKLYN"
3014020009,"BROOKLYN",11213,"07","2010",1,"CENTRAL BROOKLYN"
3014020009,"BROOKLYN",11213,"11","2010",1,"CENTRAL BROOKLYN"
3014020029,"BROOKLYN",11213,"04","2010",1,"CENTRAL BROOKLYN"
3014020029,"BROOKLYN",11213,"11","2010",1,"CENTRAL BROOKLYN"
3014060066,"BROOKLYN",11213,"10","2010",1,"CENTRAL BROOKLYN"
3014070020,"BROOKLYN",11213,"07","2010",1,"CENTRAL BROOKLYN"
3014090001,"BROOKLYN",11213,"03","2010",1,"CENTRAL BROOKLYN"
3014120031,"BROOKLYN",11213,"05","2010",1,"CENTRAL BROOKLYN"
3014120050,"BROOKLYN",11213,"02","2010",1,"CENTRAL BROOKLYN"
3014120050,"BROOKLYN",11213,"03","2010",1,"CENTRAL BROOKLYN"
3014120050,"BROOKLYN",11213,"04","2010",3,"CENTRAL BROOKLYN"
3014120067,"BROOKLYN",11213,"05","2010",1,"CENTRAL BROOKLYN"
3014120070,"BROOKLYN",11213,"05","2010",1,"CENTRAL BROOKLYN"
3014140022,"BROOKLYN",11213,"06","2010",1,"CENTRAL BROOKLYN"
3014140033,"BROOKLYN",11213,"08","2010",1,"CENTRAL BROOKLYN"
3014140034,"BROOKLYN",11213,"08","2010",1,"CENTRAL BROOKLYN"
3014140060,"BROOKLYN",11213,"10","2010",1,"CENTRAL BROOKLYN"
3014150016,"BROOKLYN",11213,"02","2010",1,"CENTRAL BROOKLYN"
3014170007,"BROOKLYN",11213,"11","2010",1,"CENTRAL BROOKLYN"
3014170075,"BROOKLYN",11213,"12","2010",1,"CENTRAL BROOKLYN"
3014177501,"BROOKLYN",11213,"11","2010",1,"CENTRAL BROOKLYN"
3014180007,"BROOKLYN",11213,"07","2010",1,"CENTRAL BROOKLYN"
3014180049,"BROOKLYN",11213,"03","2010",1,"CENTRAL BROOKLYN"
