Year,Zip,RatsN
20,10000,0
20,10001,11300
20,10002,21100
20,10003,45300
20,10004,0
20,10005,0
20,10006,0
20,10007,0
20,10009,25600
20,10010,8400
20,10011,31200
20,10012,0
20,10013,0
20,10014,12000
20,10016,14000
20,10017,0
20,10018,0
20,10019,8100
20,10021,2700
20,10022,0
20,10023,30000
20,10024,37500
20,10025,37700
20,10026,31600
20,10027,26100
20,10028,26000
20,10029,16500
20,10030,15900
20,10031,26300
20,10032,19500
20,10033,22500
20,10034,22900
20,10035,23100
20,10036,8600
20,10037,6600
20,10038,9800
20,10039,12100
20,10040,10400
20,10044,0
20,10065,0
20,10069,0
20,10075,8600
20,10128,46200
20,10280,0
20,10282,0
20,10301,26600
20,10302,0
20,10303,12800
20,10304,29400
20,10305,0
20,10306,0
20,10307,0
20,10308,0
20,10309,7000
20,10310,66000
20,10312,66700
20,10314,30600
20,10451,21300
20,10452,9000
20,10453,23100
20,10454,14500
20,10455,13600
20,10456,57000
20,10457,39200
20,10458,21000
20,10459,22400
20,10460,32600
20,10461,0
20,10462,14500
20,10463,90000
20,10464,0
20,10465,15000
20,10466,33600
20,10467,42900
20,10468,23600
20,10469,29200
20,10470,6300
20,10471,0
20,10472,52500
20,10473,9300
20,10474,7400
20,10475,0
20,11001,0
20,11004,0
20,11040,0
20,11101,19400
20,11102,23400
20,11103,0
20,11104,20000
20,11105,11500
20,11106,19100
20,11201,130000
20,11203,34100
20,11204,0
20,11205,37000
20,11206,95200
20,11207,127000
20,11208,0
20,11209,36000
20,11210,0
20,11211,66500
20,11212,149600
20,11213,57000
20,11214,47200
20,11215,112500
20,11216,194400
20,11217,40100
20,11218,24700
20,11219,41600
20,11220,49200
20,11221,139500
20,11222,95500
20,11223,14000
20,11224,19200
20,11225,24700
20,11226,42200
20,11228,6000
20,11229,19500
20,11230,0
20,11231,90100
20,11232,31000
20,11233,136700
20,11234,29300
20,11235,40200
20,11236,31400
20,11237,66500
20,11238,99800
20,11239,0
20,11249,13900
20,11354,7200
20,11355,31100
20,11356,0
20,11357,23800
20,11358,0
20,11360,0
20,11361,5600
20,11362,0
20,11363,0
20,11364,0
20,11365,0
20,11366,0
20,11367,0
20,11368,63700
20,11369,0
20,11370,0
20,11372,9300
20,11373,68000
20,11374,12000
20,11375,0
20,11377,163700
20,11378,32300
20,11379,0
20,11385,75400
20,11411,0
20,11412,4300
20,11413,0
20,11414,0
20,11415,0
20,11416,2300
20,11417,52900
20,11418,0
20,11419,9900
20,11420,26300
20,11421,0
20,11422,0
20,11423,0
20,11426,0
20,11427,0
20,11428,0
20,11429,0
20,11430,0
20,11432,11700
20,11433,61200
20,11434,19200
20,11435,0
20,11436,0
20,11691,22500
20,11692,0
20,11693,0
20,11694,0
20,11695,0
20,11697,0
20,12345,0
