Year,Zip,RatsN
17,10001,10000
17,10002,18300
17,10003,22400
17,10004,0
17,10005,0
17,10006,500
17,10007,0
17,10009,18200
17,10010,23100
17,10011,12500
17,10012,6900
17,10013,24500
17,10014,9200
17,10016,37800
17,10017,0
17,10018,8500
17,10019,13600
17,10021,9500
17,10022,3900
17,10023,9500
17,10024,15500
17,10025,22800
17,10026,16200
17,10027,16100
17,10028,62000
17,10029,17300
17,10030,13400
17,10031,17800
17,10032,12600
17,10033,14500
17,10034,6800
17,10035,15000
17,10036,9900
17,10037,3200
17,10038,3900
17,10039,4000
17,10040,6500
17,10044,0
17,10065,11900
17,10069,200
17,10075,0
17,10112,0
17,10120,0
17,10128,15100
17,10151,0
17,10162,0
17,10282,0
17,10301,56000
17,10302,14400
17,10303,4700
17,10304,24500
17,10305,20500
17,10306,39700
17,10307,0
17,10308,8400
17,10309,0
17,10310,19200
17,10312,12400
17,10314,54000
17,10451,9000
17,10452,10800
17,10453,15200
17,10454,9500
17,10455,12300
17,10456,22600
17,10457,28300
17,10458,26000
17,10459,18100
17,10460,30000
17,10461,16000
17,10462,18000
17,10463,12800
17,10464,0
17,10465,13400
17,10466,138600
17,10467,32600
17,10468,17000
17,10469,22400
17,10470,3000
17,10471,1500
17,10472,21500
17,10473,20000
17,10474,9100
17,10475,0
17,11001,0
17,11004,0
17,11101,17600
17,11102,0
17,11103,9900
17,11104,0
17,11105,4500
17,11106,7200
17,11201,14100
17,11203,23900
17,11204,38400
17,11205,24800
17,11206,27900
17,11207,76000
17,11208,25700
17,11209,0
17,11210,7100
17,11211,38700
17,11212,41300
17,11213,28000
17,11214,9500
17,11215,51100
17,11216,76300
17,11217,36200
17,11218,60800
17,11219,40300
17,11220,17600
17,11221,111700
17,11222,28000
17,11223,10700
17,11224,12800
17,11225,15700
17,11226,38000
17,11228,0
17,11229,21000
17,11230,22500
17,11231,10700
17,11232,4800
17,11233,52900
17,11234,17500
17,11235,30400
17,11236,37100
17,11237,49800
17,11238,64200
17,11249,8700
17,11354,0
17,11355,32400
17,11356,0
17,11357,20000
17,11358,0
17,11360,0
17,11361,35200
17,11362,0
17,11363,0
17,11364,0
17,11365,1500
17,11366,0
17,11367,0
17,11368,28800
17,11369,4000
17,11370,15000
17,11372,11800
17,11373,19500
17,11374,6800
17,11375,12700
17,11377,52700
17,11378,20200
17,11379,0
17,11385,67000
17,11411,0
17,11412,18500
17,11413,10800
17,11414,6800
17,11415,3200
17,11416,23100
17,11417,0
17,11418,7100
17,11419,24800
17,11420,16900
17,11421,9000
17,11422,6600
17,11423,0
17,11426,0
17,11427,0
17,11428,0
17,11429,0
17,11432,16100
17,11433,33800
17,11434,77400
17,11435,37600
17,11436,27600
17,11691,11025
17,11692,1800
17,11693,0
17,11694,0
17,11697,0
