Year,Zip,RatsN
17,10001,7400
17,10002,17700
17,10003,13600
17,10004,900
17,10005,1200
17,10006,900
17,10007,900
17,10009,17200
17,10010,6200
17,10011,10400
17,10012,11200
17,10013,10400
17,10014,13000
17,10016,8000
17,10017,1500
17,10018,3800
17,10019,10100
17,10021,9800
17,10022,6800
17,10023,8900
17,10024,19500
17,10025,33400
17,10026,24500
17,10027,22200
17,10028,18300
17,10029,24000
17,10030,16900
17,10031,26600
17,10032,21000
17,10033,17700
17,10034,12700
17,10035,15400
17,10036,8000
17,10037,5900
17,10038,3800
17,10039,5900
17,10040,11200
17,10044,600
17,10065,9200
17,10069,600
17,10075,3000
17,10112,0
17,10120,0
17,10128,19200
17,10151,0
17,10162,0
17,10282,0
17,10301,11800
17,10302,8000
17,10303,8300
17,10304,14800
17,10305,8300
17,10306,18000
17,10307,2400
17,10308,8300
17,10309,4700
17,10310,11800
17,10312,8900
17,10314,21300
17,10451,16300
17,10452,24000
17,10453,31900
17,10454,14800
17,10455,17400
17,10456,32200
17,10457,38700
17,10458,34000
17,10459,25400
17,10460,23700
17,10461,11800
17,10462,19800
17,10463,19200
17,10464,600
17,10465,10400
17,10466,13000
17,10467,47000
17,10468,25700
17,10469,16600
17,10470,6500
17,10471,2400
17,10472,17400
17,10473,9500
17,10474,9800
17,10475,300
17,11001,900
17,11004,300
17,11101,11500
17,11102,3300
17,11103,13600
17,11104,3800
17,11105,5300
17,11106,7100
17,11201,14200
17,11203,26000
17,11204,7100
17,11205,22800
17,11206,34900
17,11207,45800
17,11208,24000
17,11209,4100
17,11210,9800
17,11211,40500
17,11212,31100
17,11213,33700
17,11214,7700
17,11215,32800
17,11216,60300
17,11217,24200
17,11218,9500
17,11219,9200
17,11220,8000
17,11221,74800
17,11222,16600
17,11223,6800
17,11224,4700
17,11225,16300
17,11226,43200
17,11228,4100
17,11229,4400
17,11230,8600
17,11231,12100
17,11232,3800
17,11233,51800
17,11234,13600
17,11235,19500
17,11236,15400
17,11237,27200
17,11238,38400
17,11249,8600
17,11354,4400
17,11355,8000
17,11356,2400
17,11357,5900
17,11358,2700
17,11360,900
17,11361,5600
17,11362,1500
17,11363,900
17,11364,900
17,11365,1800
17,11366,600
17,11367,1800
17,11368,14800
17,11369,5000
17,11370,3800
17,11372,14800
17,11373,11800
17,11374,6200
17,11375,3300
17,11377,16900
17,11378,7700
17,11379,8300
17,11385,39600
17,11411,3500
17,11412,10900
17,11413,8000
17,11414,5000
17,11415,2400
17,11416,6200
17,11417,7700
17,11418,6800
17,11419,9800
17,11420,8000
17,11421,5300
17,11422,3500
17,11423,3800
17,11426,2700
17,11427,2700
17,11428,1500
17,11429,3800
17,11432,13600
17,11433,14800
17,11434,12700
17,11435,16300
17,11436,7100
17,11691,6200
17,11692,1800
17,11693,1200
17,11694,2400
17,11697,0
