"Year","Zip","RatsN"
19,"10001",7066.21621621622
19,"10002",19852.7027027027
19,"10003",16151.3513513514
19,"10004",2355.40540540541
19,"10005",2018.91891891892
19,"10006",1009.45945945946
19,"10007",3364.86486486487
19,"10009",15814.8648648649
19,"10010",4374.32432432432
19,"10011",11777.027027027
19,"10012",7739.18918918919
19,"10013",13459.4594594595
19,"10014",8748.64864864865
19,"10016",10767.5675675676
19,"10017",672.972972972973
19,"10018",2018.91891891892
19,"10019",5047.2972972973
19,"10020",0
19,"10021",8412.16216216216
19,"10022",5720.27027027027
19,"10023",19516.2162162162
19,"10024",27928.3783783784
19,"10025",48790.5405405405
19,"10026",23554.0540540541
19,"10027",28601.3513513513
19,"10028",14468.9189189189
19,"10029",27591.8918918919
19,"10030",24900
19,"10031",29947.2972972973
19,"10032",15141.8918918919
19,"10033",15814.8648648649
19,"10034",14468.9189189189
19,"10035",14805.4054054054
19,"10036",8075.67567567568
19,"10037",9085.13513513513
19,"10038",4037.83783783784
19,"10039",8412.16216216216
19,"10040",7739.18918918919
19,"10065",7739.18918918919
19,"10069",336.486486486487
19,"10075",10767.5675675676
19,"10112",0
19,"10119",0
19,"10128",13795.9459459459
19,"10280",1009.45945945946
19,"10282",336.486486486487
19,"10301",18506.7567567568
19,"10302",11440.5405405405
19,"10303",11440.5405405405
19,"10304",11440.5405405405
19,"10305",8075.67567567568
19,"10306",18506.7567567568
19,"10307",3364.86486486487
19,"10308",8748.64864864865
19,"10309",5383.78378378378
19,"10310",15478.3783783784
19,"10312",15814.8648648649
19,"10314",20862.1621621622
19,"10451",12113.5135135135
19,"10452",25236.4864864865
19,"10453",30956.7567567568
19,"10454",15478.3783783784
19,"10455",22881.0810810811
19,"10456",36677.027027027
19,"10457",34994.5945945946
19,"10458",36004.0540540541
19,"10459",25909.4594594595
19,"10460",26582.4324324324
19,"10461",11440.5405405405
19,"10462",19852.7027027027
19,"10463",20189.1891891892
19,"10464",672.972972972973
19,"10465",6729.72972972973
19,"10466",16487.8378378378
19,"10467",40378.3783783784
19,"10468",22208.1081081081
19,"10469",19852.7027027027
19,"10470",8748.64864864865
19,"10471",3028.37837837838
19,"10472",29274.3243243243
19,"10473",12786.4864864865
19,"10474",11777.027027027
19,"10475",672.972972972973
19,"11001",1345.94594594595
19,"11004",672.972972972973
19,"11040",336.486486486487
19,"11101",15478.3783783784
19,"11102",3701.35135135135
19,"11103",5383.78378378378
19,"11104",5720.27027027027
19,"11105",5383.78378378378
19,"11106",11440.5405405405
19,"11109",336.486486486487
19,"11201",14468.9189189189
19,"11203",32302.7027027027
19,"11204",7739.18918918919
19,"11205",31293.2432432432
19,"11206",50809.4594594595
19,"11207",45762.1621621622
19,"11208",30283.7837837838
19,"11209",10767.5675675676
19,"11210",9758.10810810811
19,"11211",42733.7837837838
19,"11212",37013.5135135135
19,"11213",28937.8378378378
19,"11214",8075.67567567568
19,"11215",45762.1621621622
19,"11216",72344.5945945946
19,"11217",22544.5945945946
19,"11218",13459.4594594595
19,"11219",13122.972972973
19,"11220",19852.7027027027
19,"11221",85131.0810810811
19,"11222",28264.8648648649
19,"11223",13122.972972973
19,"11224",8748.64864864865
19,"11225",26918.9189189189
19,"11226",47108.1081081081
19,"11228",6393.24324324324
19,"11229",10767.5675675676
19,"11230",10094.5945945946
19,"11231",13795.9459459459
19,"11232",8412.16216216216
19,"11233",53501.3513513514
19,"11234",16824.3243243243
19,"11235",22544.5945945946
19,"11236",14132.4324324324
19,"11237",37013.5135135135
19,"11238",52828.3783783784
19,"11239",672.972972972973
19,"11241",0
19,"11249",11777.027027027
19,"11354",5047.2972972973
19,"11355",7739.18918918919
19,"11356",1009.45945945946
19,"11357",13459.4594594595
19,"11358",3028.37837837838
19,"11360",1345.94594594595
19,"11361",4037.83783783784
19,"11362",336.486486486487
19,"11364",1009.45945945946
19,"11365",3028.37837837838
19,"11366",1345.94594594595
19,"11367",7066.21621621622
19,"11368",17497.2972972973
19,"11369",8412.16216216216
19,"11370",5047.2972972973
19,"11372",13795.9459459459
19,"11373",17833.7837837838
19,"11374",7066.21621621622
19,"11375",11440.5405405405
19,"11377",24563.5135135135
19,"11378",8412.16216216216
19,"11379",14805.4054054054
19,"11385",35331.0810810811
19,"11411",3028.37837837838
19,"11412",13122.972972973
19,"11413",6729.72972972973
19,"11414",3701.35135135135
19,"11415",1682.43243243243
19,"11416",4374.32432432432
19,"11417",4710.81081081081
19,"11418",9758.10810810811
19,"11419",13795.9459459459
19,"11420",11440.5405405405
19,"11421",5047.2972972973
19,"11422",4374.32432432432
19,"11423",5720.27027027027
19,"11426",6056.75675675676
19,"11427",4710.81081081081
19,"11428",1682.43243243243
19,"11429",4710.81081081081
19,"11432",10094.5945945946
19,"11433",17833.7837837838
19,"11434",11777.027027027
19,"11435",16487.8378378378
19,"11436",9421.62162162162
19,"11691",7739.18918918919
19,"11692",2018.91891891892
19,"11693",1345.94594594595
19,"11694",1009.45945945946
